start	end	script	comment
0600	0604	Arabic	Cf   [5] ARABIC NUMBER SIGN..ARABIC SIGN SAMVAT
0606	0608	Arabic	Sm   [3] ARABIC-INDIC CUBE ROOT..ARABIC RAY
0609	060A	Arabic	Po   [2] ARABIC-INDIC PER MILLE SIGN..ARABIC-INDIC PER TEN THOUSAND SIGN
060B	060B	Arabic	Sc       AFGHANI SIGN
060D	060D	Arabic	Po       ARABIC DATE SEPARATOR
060E	060F	Arabic	So   [2] ARABIC POETIC VERSE SIGN..ARABIC SIGN MISRA
0610	061A	Arabic	Mn  [11] ARABIC SIGN SALLALLAHOU ALAYHE WASSALLAM..ARABIC SMALL KASRA
061C	061C	Arabic	Cf       ARABIC LETTER MARK
061D	061E	Arabic	Po   [2] ARABIC END OF TEXT MARK..ARABIC TRIPLE DOT PUNCTUATION MARK
0620	063F	Arabic	Lo  [32] ARABIC LETTER KASHMIRI YEH..ARABIC LETTER FARSI YEH WITH THREE DOTS ABOVE
0641	064A	Arabic	Lo  [10] ARABIC LETTER FEH..ARABIC LETTER YEH
0656	065F	Arabic	Mn  [10] ARABIC SUBSCRIPT ALEF..ARABIC WAVY HAMZA BELOW
0660	0669	Arabic	Nd  [10] ARABIC-INDIC DIGIT ZERO..ARABIC-INDIC DIGIT NINE
066A	066D	Arabic	Po   [4] ARABIC PERCENT SIGN..ARABIC FIVE POINTED STAR
066E	066F	Arabic	Lo   [2] ARABIC LETTER DOTLESS BEH..ARABIC LETTER DOTLESS QAF
0671	06D3	Arabic	Lo  [99] ARABIC LETTER ALEF WASLA..ARABIC LETTER YEH BARREE WITH HAMZA ABOVE
06D4	06D4	Arabic	Po       ARABIC FULL STOP
06D5	06D5	Arabic	Lo       ARABIC LETTER AE
06D6	06DC	Arabic	Mn   [7] ARABIC SMALL HIGH LIGATURE SAD WITH LAM WITH ALEF MAKSURA..ARABIC SMALL HIGH SEEN
06DE	06DE	Arabic	So       ARABIC START OF RUB EL HIZB
06DF	06E4	Arabic	Mn   [6] ARABIC SMALL HIGH ROUNDED ZERO..ARABIC SMALL HIGH MADDA
06E5	06E6	Arabic	Lm   [2] ARABIC SMALL WAW..ARABIC SMALL YEH
06E7	06E8	Arabic	Mn   [2] ARABIC SMALL HIGH YEH..ARABIC SMALL HIGH NOON
06E9	06E9	Arabic	So       ARABIC PLACE OF SAJDAH
06EA	06ED	Arabic	Mn   [4] ARABIC EMPTY CENTRE LOW STOP..ARABIC SMALL LOW MEEM
06EE	06EF	Arabic	Lo   [2] ARABIC LETTER DAL WITH INVERTED V..ARABIC LETTER REH WITH INVERTED V
06F0	06F9	Arabic	Nd  [10] EXTENDED ARABIC-INDIC DIGIT ZERO..EXTENDED ARABIC-INDIC DIGIT NINE
06FA	06FC	Arabic	Lo   [3] ARABIC LETTER SHEEN WITH DOT BELOW..ARABIC LETTER GHAIN WITH DOT BELOW
06FD	06FE	Arabic	So   [2] ARABIC SIGN SINDHI AMPERSAND..ARABIC SIGN SINDHI POSTPOSITION MEN
06FF	06FF	Arabic	Lo       ARABIC LETTER HEH WITH INVERTED V
