table	leftCategory	rightCategory
AB	P00001	X00052
AB	P00001	X00053
AB	P00001	X00054
AB	P00001	X00055
AB	P00001	X00056
AB	P00001	X00057
AB	P00001	X00058
AB	P00001	X00059
AB	P00001	X00060
AB	P00001	X00061
AB	P00001	X00062
AB	P00001	X00063
AB	P00001	X00064
AB	P00001	X00065
AB	P00001	X00066
AB	P00001	X00067
AB	P00001	X00068
AB	P00001	X00069
AB	P00001	X00070
AB	P00001	X00071
AB	P00001	X00072
AB	P00001	X00073
AB	P00001	X00074
AB	P00001	X00075
AB	P00001	X00076
AB	P00001	X00077
AB	P00001	X00078
AB	P00001	X00079
AB	P00001	X00080
AB	P00001	X00081
AB	P00001	X00082
AB	P00001	X00083
AB	P00001	X00084
AB	P00001	X00085
AB	P00001	X00086
AB	P00001	X00087
AB	P00001	X00088
AB	P00001	X00089
AB	P00001	X00090
AB	P00001	X00091
AB	P00001	X00092
AB	P00001	X00093
AB	P00001	X00094
AB	P00001	X00095
AB	P00001	X00096
AB	P00001	X00097
AB	P00001	X00098
AB	P00001	X00099
AB	P00001	X00100
AB	P00001	X00101
AB	P00001	X00102
AB	P00001	X00103
AB	P00001	X00104
AB	P00001	X00105
AB	P00001	X00106
AB	P00002	X00375
AB	P00003	X00143
AB	P00003	X00146
AB	P00003	X00164
AB	P00003	X00187
AB	P00003	X00202
AB	P00003	X00203
AB	P00003	X00229
AB	P00003	X00231
AB	P00003	X00232
AB	P00003	X00233
AB	P00004	X00150
AB	P00004	X00204
AB	P00004	X00205
AB	P00004	X00234
AB	P00004	X00236
AB	P00004	X00237
AB	P00004	X00238
AB	P00005	X00109
AB	P00005	X00114
AB	P00005	X00119
AB	P00005	X00120
AB	P00005	X00134
AB	P00005	X00136
AB	P00005	X00152
AB	P00005	X00156
AB	P00005	X00167
AB	P00005	X00178
AB	P00005	X00180
AB	P00005	X00181
AB	P00005	X00190
AB	P00005	X00193
AB	P00005	X00196
AB	P00005	X00207
AB	P00005	X00208
AB	P00005	X00210
AB	P00005	X00212
AB	P00005	X00213
AB	P00005	X00215
AB	P00005	X00216
AB	P00005	X00218
AB	P00005	X00239
AB	P00005	X00241
AB	P00005	X00244
AB	P00005	X00245
AB	P00006	X00118
AB	P00006	X00123
AB	P00006	X00138
AB	P00006	X00160
AB	P00006	X00171
AB	P00006	X00175
AB	P00006	X00201
AB	P00006	X00219
AB	P00006	X00221
AB	P00006	X00223
AB	P00006	X00224
AB	P00006	X00226
AB	P00006	X00228
AB	P00006	X00246
AB	P00006	X00249
AB	P00006	X00250
AB	P00006	X00251
AB	P00007	X00140
AB	P00007	X00144
AB	P00007	X00161
AB	P00007	X00185
AB	P00007	X00202
AB	P00007	X00203
AB	P00007	X00229
AB	P00007	X00231
AB	P00007	X00232
AB	P00007	X00233
AB	P00008	X00147
AB	P00008	X00204
AB	P00008	X00205
AB	P00008	X00234
AB	P00008	X00236
AB	P00008	X00237
AB	P00008	X00238
AB	P00009	X00110
AB	P00009	X00111
AB	P00009	X00121
AB	P00009	X00130
AB	P00009	X00139
AB	P00009	X00153
AB	P00009	X00154
AB	P00009	X00165
AB	P00009	X00178
AB	P00009	X00180
AB	P00009	X00182
AB	P00009	X00188
AB	P00009	X00191
AB	P00009	X00194
AB	P00009	X00207
AB	P00009	X00208
AB	P00009	X00210
AB	P00009	X00212
AB	P00009	X00213
AB	P00009	X00215
AB	P00009	X00216
AB	P00009	X00218
AB	P00009	X00239
AB	P00009	X00241
AB	P00009	X00244
AB	P00009	X00245
AB	P00010	X00115
AB	P00010	X00125
AB	P00010	X00157
AB	P00010	X00158
AB	P00010	X00168
AB	P00010	X00172
AB	P00010	X00197
AB	P00010	X00219
AB	P00010	X00221
AB	P00010	X00223
AB	P00010	X00224
AB	P00010	X00226
AB	P00010	X00228
AB	P00010	X00246
AB	P00010	X00249
AB	P00010	X00250
AB	P00010	X00251
AB	P00011	X00142
AB	P00011	X00163
AB	P00011	X00186
AB	P00011	X00202
AB	P00011	X00203
AB	P00011	X00229
AB	P00011	X00231
AB	P00011	X00232
AB	P00011	X00233
AB	P00012	X00149
AB	P00012	X00204
AB	P00012	X00205
AB	P00012	X00234
AB	P00012	X00236
AB	P00012	X00237
AB	P00012	X00238
AB	P00013	X00108
AB	P00013	X00113
AB	P00013	X00134
AB	P00013	X00136
AB	P00013	X00151
AB	P00013	X00155
AB	P00013	X00166
AB	P00013	X00178
AB	P00013	X00180
AB	P00013	X00195
AB	P00013	X00207
AB	P00013	X00208
AB	P00013	X00210
AB	P00013	X00212
AB	P00013	X00213
AB	P00013	X00214
AB	P00013	X00216
AB	P00013	X00217
AB	P00013	X00239
AB	P00013	X00240
AB	P00013	X00244
AB	P00013	X00245
AB	P00014	X00117
AB	P00014	X00124
AB	P00014	X00138
AB	P00014	X00159
AB	P00014	X00170
AB	P00014	X00174
AB	P00014	X00200
AB	P00014	X00219
AB	P00014	X00221
AB	P00014	X00223
AB	P00014	X00224
AB	P00014	X00225
AB	P00014	X00226
AB	P00014	X00227
AB	P00014	X00246
AB	P00014	X00249
AB	P00014	X00251
AB	P00015	X00140
AB	P00015	X00144
AB	P00015	X00161
AB	P00015	X00185
AB	P00015	X00202
AB	P00015	X00203
AB	P00015	X00229
AB	P00015	X00231
AB	P00015	X00232
AB	P00015	X00233
AB	P00016	X00147
AB	P00016	X00204
AB	P00016	X00205
AB	P00016	X00234
AB	P00016	X00236
AB	P00016	X00237
AB	P00016	X00238
AB	P00017	X00110
AB	P00017	X00111
AB	P00017	X00119
AB	P00017	X00120
AB	P00017	X00134
AB	P00017	X00136
AB	P00017	X00139
AB	P00017	X00153
AB	P00017	X00154
AB	P00017	X00165
AB	P00017	X00178
AB	P00017	X00180
AB	P00017	X00181
AB	P00017	X00188
AB	P00017	X00191
AB	P00017	X00194
AB	P00017	X00207
AB	P00017	X00208
AB	P00017	X00210
AB	P00017	X00212
AB	P00017	X00213
AB	P00017	X00215
AB	P00017	X00216
AB	P00017	X00218
AB	P00017	X00239
AB	P00017	X00241
AB	P00017	X00244
AB	P00017	X00245
AB	P00018	X00115
AB	P00018	X00123
AB	P00018	X00138
AB	P00018	X00157
AB	P00018	X00158
AB	P00018	X00168
AB	P00018	X00172
AB	P00018	X00197
AB	P00018	X00219
AB	P00018	X00221
AB	P00018	X00223
AB	P00018	X00224
AB	P00018	X00226
AB	P00018	X00228
AB	P00018	X00246
AB	P00018	X00249
AB	P00018	X00250
AB	P00018	X00251
AB	P00019	X00143
AB	P00019	X00146
AB	P00019	X00164
AB	P00019	X00187
AB	P00019	X00202
AB	P00019	X00203
AB	P00019	X00229
AB	P00019	X00231
AB	P00019	X00232
AB	P00019	X00233
AB	P00020	X00150
AB	P00020	X00204
AB	P00020	X00205
AB	P00020	X00234
AB	P00020	X00236
AB	P00020	X00237
AB	P00020	X00238
AB	P00021	X00109
AB	P00021	X00114
AB	P00021	X00119
AB	P00021	X00120
AB	P00021	X00134
AB	P00021	X00136
AB	P00021	X00152
AB	P00021	X00156
AB	P00021	X00167
AB	P00021	X00178
AB	P00021	X00180
AB	P00021	X00181
AB	P00021	X00190
AB	P00021	X00193
AB	P00021	X00196
AB	P00021	X00207
AB	P00021	X00208
AB	P00021	X00210
AB	P00021	X00212
AB	P00021	X00213
AB	P00021	X00215
AB	P00021	X00216
AB	P00021	X00218
AB	P00021	X00239
AB	P00021	X00241
AB	P00021	X00244
AB	P00021	X00245
AB	P00022	X00118
AB	P00022	X00123
AB	P00022	X00138
AB	P00022	X00160
AB	P00022	X00171
AB	P00022	X00175
AB	P00022	X00201
AB	P00022	X00219
AB	P00022	X00221
AB	P00022	X00223
