partOfSpeech	feature	value
prep	asp	na
prep	atbSegmentation	*
prep	atbTokenization	*
prep	buckwalter	*
prep	bwtok	*
prep	caphi	*
prep	cas	na
prep	catib6	*
prep	cm_buffer	*
prep	cm_pref_ids	*
prep	cm_stem	*
prep	cm_stem_ids	*
prep	cm_suff_ids	*
prep	correctness	y
prep	d1seg	*
prep	d1tok	*
prep	d2seg	*
prep	d2tok	*
prep	d3Segmentation	*
prep	d3Tokenization	*
prep	diacritizedForm	*
prep	enc0	0
prep	enc1	0
prep	enc2	0
prep	form_gen	na
prep	form_num	na
prep	gen	na
prep	gloss	*
prep	lexicalForm	*
prep	lex_logprob	*
prep	mid_root_diac	na
prep	mod	na
prep	num	na
prep	pattern	*
prep	pattern_abstract	*
prep	per	na
prep	partOfSpeech	prep
prep	pos_lex_logprob	*
prep	pos_logprob	*
prep	prc0	0
prep	prc1	0
prep	prc1.5	0
prep	prc2	0
prep	prc3	0
prep	rat	na
prep	root	*
prep	sourceType	lex
prep	stem	*
prep	stemCategory	*
prep	stemgloss	*
prep	stt	na
prep	ud	*
prep	vox	na
verb	asp	na
verb	atbSegmentation	*
verb	atbTokenization	*
verb	buckwalter	*
verb	bwtok	*
verb	caphi	*
verb	cas	na
verb	catib6	*
verb	cm_buffer	*
verb	cm_pref_ids	*
verb	cm_stem	*
verb	cm_stem_ids	*
verb	cm_suff_ids	*
verb	correctness	y
verb	d1seg	*
verb	d1tok	*
verb	d2seg	*
verb	d2tok	*
verb	d3Segmentation	*
verb	d3Tokenization	*
verb	diacritizedForm	*
verb	enc0	0
verb	enc1	0
verb	enc2	0
verb	form_gen	m
verb	form_num	s
verb	gen	m
verb	gloss	*
verb	lexicalForm	*
verb	lex_logprob	*
verb	mid_root_diac	u
verb	mod	u
verb	num	s
verb	pattern	*
verb	pattern_abstract	*
verb	per	3
verb	partOfSpeech	verb
verb	pos_lex_logprob	*
verb	pos_logprob	*
verb	prc0	0
verb	prc1	0
verb	prc1.5	0
verb	prc2	0
verb	prc3	0
verb	rat	n
verb	root	*
verb	sourceType	lex
verb	stem	*
verb	stemCategory	*
verb	stemgloss	*
verb	stt	na
verb	ud	*
verb	vox	u
adj_num	asp	na
adj_num	atbSegmentation	*
adj_num	atbTokenization	*
adj_num	buckwalter	*
adj_num	bwtok	*
adj_num	caphi	*
adj_num	cas	u
adj_num	catib6	*
adj_num	cm_buffer	*
adj_num	cm_pref_ids	*
adj_num	cm_stem	*
adj_num	cm_stem_ids	*
adj_num	cm_suff_ids	*
adj_num	correctness	y
adj_num	d1seg	*
adj_num	d1tok	*
adj_num	d2seg	*
adj_num	d2tok	*
adj_num	d3Segmentation	*
adj_num	d3Tokenization	*
adj_num	diacritizedForm	*
adj_num	enc0	0
adj_num	enc1	0
adj_num	enc2	0
adj_num	form_gen	m
adj_num	form_num	s
adj_num	gen	-
adj_num	gloss	*
adj_num	lexicalForm	*
adj_num	lex_logprob	*
adj_num	mid_root_diac	na
adj_num	mod	na
adj_num	num	-
adj_num	pattern	*
adj_num	pattern_abstract	*
adj_num	per	na
adj_num	partOfSpeech	adj_num
adj_num	pos_lex_logprob	*
adj_num	pos_logprob	*
adj_num	prc0	0
adj_num	prc1	0
adj_num	prc1.5	0
adj_num	prc2	0
adj_num	prc3	0
adj_num	rat	n
adj_num	root	*
adj_num	sourceType	lex
adj_num	stem	*
adj_num	stemCategory	*
adj_num	stemgloss	*
adj_num	stt	i
adj_num	ud	*
adj_num	vox	na
pron_dem	asp	na
pron_dem	atbSegmentation	*
pron_dem	atbTokenization	*
pron_dem	buckwalter	*
pron_dem	bwtok	*
pron_dem	caphi	*
pron_dem	cas	u
pron_dem	catib6	*
pron_dem	cm_buffer	*
pron_dem	cm_pref_ids	*
pron_dem	cm_stem	*
pron_dem	cm_stem_ids	*
pron_dem	cm_suff_ids	*
pron_dem	correctness	y
pron_dem	d1seg	*
pron_dem	d1tok	*
pron_dem	d2seg	*
pron_dem	d2tok	*
pron_dem	d3Segmentation	*
pron_dem	d3Tokenization	*
pron_dem	diacritizedForm	*
pron_dem	enc0	0
pron_dem	enc1	0
pron_dem	enc2	0
pron_dem	form_gen	m
pron_dem	form_num	s
pron_dem	gen	-
pron_dem	gloss	*
pron_dem	lexicalForm	*
pron_dem	lex_logprob	*
pron_dem	mid_root_diac	na
pron_dem	mod	na
pron_dem	num	-
pron_dem	pattern	*
pron_dem	pattern_abstract	*
pron_dem	per	na
pron_dem	partOfSpeech	pron_dem
pron_dem	pos_lex_logprob	*
pron_dem	pos_logprob	*
pron_dem	prc0	0
pron_dem	prc1	0
pron_dem	prc1.5	0
pron_dem	prc2	0
pron_dem	prc3	0
pron_dem	rat	y
pron_dem	root	*
pron_dem	sourceType	lex
pron_dem	stem	*
pron_dem	stemCategory	*
pron_dem	stemgloss	*
pron_dem	stt	i
pron_dem	ud	*
pron_dem	vox	na
pron_rel	asp	na
pron_rel	atbSegmentation	*
pron_rel	atbTokenization	*
pron_rel	buckwalter	*
pron_rel	bwtok	*
pron_rel	caphi	*
pron_rel	cas	u
pron_rel	catib6	*
pron_rel	cm_buffer	*
pron_rel	cm_pref_ids	*
pron_rel	cm_stem	*
pron_rel	cm_stem_ids	*
pron_rel	cm_suff_ids	*
pron_rel	correctness	y
pron_rel	d1seg	*
pron_rel	d1tok	*
pron_rel	d2seg	*
pron_rel	d2tok	*
pron_rel	d3Segmentation	*
pron_rel	d3Tokenization	*
pron_rel	diacritizedForm	*
pron_rel	enc0	0
pron_rel	enc1	0
pron_rel	enc2	0
pron_rel	form_gen	m
pron_rel	form_num	s
pron_rel	gen	-
pron_rel	gloss	*
pron_rel	lexicalForm	*
pron_rel	lex_logprob	*
pron_rel	mid_root_diac	na
pron_rel	mod	na
pron_rel	num	-
pron_rel	pattern	*
pron_rel	pattern_abstract	*
pron_rel	per	na
pron_rel	partOfSpeech	pron_rel
pron_rel	pos_lex_logprob	*
pron_rel	pos_logprob	*
pron_rel	prc0	0
pron_rel	prc1	0
pron_rel	prc1.5	0
pron_rel	prc2	0
pron_rel	prc3	0
pron_rel	rat	y
pron_rel	root	*
pron_rel	sourceType	lex
pron_rel	stem	*
pron_rel	stemCategory	*
pron_rel	stemgloss	*
pron_rel	stt	i
pron_rel	ud	*
pron_rel	vox	na
latin	asp	na
latin	atbSegmentation	*
latin	atbTokenization	*
latin	buckwalter	*
latin	bwtok	*
latin	caphi	*
latin	cas	na
latin	catib6	*
latin	cm_buffer	*
latin	cm_pref_ids	*
latin	cm_stem	*
latin	cm_stem_ids	*
latin	cm_suff_ids	*
latin	correctness	y
latin	d1seg	*
latin	d1tok	*
latin	d2seg	*
latin	d2tok	*
latin	d3Segmentation	*
latin	d3Tokenization	*
latin	diacritizedForm	*
latin	enc0	0
latin	enc1	0
latin	enc2	0
latin	form_gen	na
latin	form_num	na
latin	gen	na
latin	gloss	*
latin	lexicalForm	*
latin	lex_logprob	*
latin	mid_root_diac	na
latin	mod	na
latin	num	na
latin	pattern	*
latin	pattern_abstract	*
latin	per	na
latin	partOfSpeech	latin
latin	pos_lex_logprob	*
latin	pos_logprob	*
latin	prc0	0
latin	prc1	0
latin	prc1.5	0
latin	prc2	0
latin	prc3	0
latin	rat	na
latin	root	*
latin	sourceType	lex
latin	stem	*
latin	stemCategory	*
latin	stemgloss	*
latin	stt	na
latin	ud	*
latin	vox	na
punc	asp	na
punc	atbSegmentation	*
punc	atbTokenization	*
punc	buckwalter	*
punc	bwtok	*
punc	caphi	*
punc	cas	na
punc	catib6	*
punc	cm_buffer	*
punc	cm_pref_ids	*
punc	cm_stem	*
punc	cm_stem_ids	*
punc	cm_suff_ids	*
punc	correctness	y
punc	d1seg	*
punc	d1tok	*
punc	d2seg	*
punc	d2tok	*
punc	d3Segmentation	*
punc	d3Tokenization	*
punc	diacritizedForm	*
punc	enc0	0
punc	enc1	0
punc	enc2	0
punc	form_gen	na
punc	form_num	na
punc	gen	na
punc	gloss	*
punc	lexicalForm	*
punc	lex_logprob	*
punc	mid_root_diac	na
punc	mod	na
punc	num	na
punc	pattern	*
punc	pattern_abstract	*
punc	per	na
punc	partOfSpeech	punc
punc	pos_lex_logprob	*
punc	pos_logprob	*
punc	prc0	0
punc	prc1	0
punc	prc1.5	0
punc	prc2	0
punc	prc3	0
punc	rat	na
punc	root	*
punc	sourceType	lex
punc	stem	*
punc	stemCategory	*
punc	stemgloss	*
punc	stt	na
punc	ud	*
punc	vox	na
conj_sub	asp	na
conj_sub	atbSegmentation	*
conj_sub	atbTokenization	*
conj_sub	buckwalter	*
conj_sub	bwtok	*
conj_sub	caphi	*
conj_sub	cas	na
conj_sub	catib6	*
conj_sub	cm_buffer	*
conj_sub	cm_pref_ids	*
conj_sub	cm_stem	*
conj_sub	cm_stem_ids	*
conj_sub	cm_suff_ids	*
conj_sub	correctness	y
conj_sub	d1seg	*
conj_sub	d1tok	*
conj_sub	d2seg	*
conj_sub	d2tok	*
conj_sub	d3Segmentation	*
conj_sub	d3Tokenization	*
conj_sub	diacritizedForm	*
conj_sub	enc0	0
conj_sub	enc1	0
conj_sub	enc2	0
conj_sub	form_gen	na
conj_sub	form_num	na
conj_sub	gen	na
conj_sub	gloss	*
