feature	valueCount	values
asp	4	p na c i
atbseg	1	*open*
atbtok	1	*open*
bw	1	*open*
bwtok	1	*open*
caphi	1	*open*
cas	5	u n na a g
catib6	1	*open*
cm_buffer	1	*open*
cm_pref_ids	1	*open*
cm_stem	1	*open*
cm_stem_ids	1	*open*
cm_suff_ids	1	*open*
correctness	2	y n
d1seg	1	*open*
d1tok	1	*open*
d2seg	1	*open*
d2tok	1	*open*
d3seg	1	*open*
d3tok	1	*open*
diac	1	*open*
enc0	52	2p_dobj 3p_dobj 3p_poss 3mp_poss 3d_dobj 2p_poss 2mp_poss 3d_pron 3ms_pron 3ms_poss man_interrog 3mp_pron 2d_pron 3mp_dobj 2fp_pron lA_neg man_rel 1s_dobj 2ms_pron 2mp_pron ma_interrog na 3fs_dobj mA_rel 0 2fs_pron 2fp_poss 1s_poss Ah_voc 2d_dobj 2mp_dobj 3fp_pron 1p_poss ma_rel 2fs_poss 3ms_dobj mA_interrog 3d_poss 3fp_poss ma_sub 2fp_dobj 2d_poss 1s_pron 3fs_pron 3fs_poss 3fp_dobj 1p_pron 2fs_dobj 2ms_poss 1p_dobj 2ms_dobj mA_sub
enc1	22	0 1s_dobj 1p_dobj 2mp_dobj 2fs_dobj 2d_dobj 2ms_dobj 2fp_dobj 3ms_dobj 3fs_dobj 3d_dobj 3mp_dobj 3fp_dobj 1s_iobj 1p_iobj 2ms_iobj 2fs_iobj 2p_iobj 3ms_iobj 3fs_iobj 3p_iobj part_neg
enc2	3	0 na part_neg
form_gen	3	na m f
form_num	5	s na d u p
gen	5	na m f b u
gloss	1	*open*
lex	1	*open*
lex_logprob	1	*open*
mid_root_diac	4	u i a na
mod	7	s i na u j e x
num	6	s na d u p b
pattern	1	*open*
pattern_abstract	1	*open*
per	4	na 3 2 1
pos	36	noun part_neg pron_rel noun_num adv_interrog part_voc adj_comp punc conj_sub part_fut pron_exclam part part_verb verb digit conj pron_interrog pron abbrev part_det interj adj_num adv part_restrict adv_rel adj prep part_interrog verb_pseudo verb_nom noun_prop part_focus noun_quant latin pron_dem part_connect
pos_lex_logprob	1	*open*
pos_logprob	1	*open*
prc0	11	0 mA_part ma_neg Al_det AlmA_detneg mA_rel na Aa_prondem hAl_det lA_neg mA_neg
prc1	30	0 laHa_rcfut laHa_emphfut li_jus <i$_interrog li_prep Ea_prep bi_prep bi_part Ha_fut ha_fut yA_voc la_prep na li_sub hA_dem ka_prep sa_fut wa_prep min_prep wA_voc bi_prog la_emph fiy_prep ta_prep la_rc libi_prep EalaY_prep $_interrog m_prep
prc1.5	5	prc1.5 mA_neg 0 lA_neg na
prc2	9	fa_conn fa_rc 0 na wa_part wa_sub fa_sub wa_conj fa_conj
prc3	3	0 na >a_ques
rat	7	n na y i r b u
root	1	*open*
source	7	lex punct foreign spvar digit backoff wiki
stem	1	*open*
stemcat	1	*open*
stemgloss	1	*open*
stt	5	u i na c d
ud	1	*open*
vox	4	p na u a
