sourceNormalizedLemma	targetNormalizedLemma	sourceEntryId	targetEntryId	synsetId	partOfSpeech
1 اغسطس	عيد الحصاد	awn4-eb41b189bd87a	awn4-e9d4fade36922	awn4-15215063-n	n
1 نوفمبر	عيد جميع القديسين	awn4-ef547f230cd6a	awn4-ebd25510027d3	awn4-15219894-n	n
1 يناير	عيد الختان	awn4-e1abc8a5b0217	awn4-ee1175597bcf3	awn4-15218106-n	n
1 يناير	عيد مريم والدة الله	awn4-e1abc8a5b0217	awn4-e2a17685c95b4	awn4-15217725-n	n
1 يوليو	يوم الدومينيون	awn4-eadd87e624c6a	awn4-ee239269d9c45	awn4-15225149-n	n
11 نوفمبر	عيد القديس مارتن	awn4-e25fba478abdd	awn4-efeb92768a7ec	awn4-15210672-n	n
11 نوفمبر	يوم المحاربين القدامي	awn4-e25fba478abdd	awn4-e767a1c729425	awn4-15225731-n	n
12 اكتوبر	يوم كولومبوس	awn4-e106bff6879f8	awn4-e3aea9c395b86	awn4-15215730-n	n
12 فبراير	عيد ميلاد لينكولن	awn4-ee59d69e54c67	awn4-ed73458afcd76	awn4-15211912-n	n
120	مائة طويلة	awn4-ebf2366098774	awn4-e651b1ac9d820	awn4-13772714-n	n
14 ابريل	يوم البلدان الامريكية	awn4-e33fcc238b36c	awn4-e973dbb0b0e35	awn4-15213523-n	n
14 يوليو	يوم الباستيل	awn4-eaeb3988b7f20	awn4-e0eed265de622	awn4-15225328-n	n
14 يونيو	يوم العلم	awn4-e74aec0a1404c	awn4-e8f9a793146a6	awn4-15214673-n	n
144	غروس	awn4-e177d12e4f242	awn4-eaa82a9b17497	awn4-13772644-n	n
15 اغسطس	عيد الانتقال	awn4-eaf263dbedf66	awn4-e6e212b79dcb4	awn4-15218743-n	n
15 اغسطس 1945	يوم النصر علي اليابان	awn4-ec558cf45c748	awn4-e531d66b141f3	awn4-15187929-n	n
16 PF	استبيان عوامل الشخصية الستة عشر	awn4-e6ec1351f9443	awn4-e97c3b1d74573	awn4-06487604-n	n
17 سبتمبر	يوم المواطنة	awn4-ed434564658c5	awn4-ebeaf2e4c0634	awn4-15215487-n	n
17 مارس	يوم القديس باتريك	awn4-e8ddd97af9e01	awn4-e44d106ece9a1	awn4-15212823-n	n
1728	غروس كبير	awn4-e184848f9eb34	awn4-e9f4eefb7b070	awn4-13773298-n	n
19 مارس	عيد القديس يوسف	awn4-efbf062c020ee	awn4-e3b8332904460	awn4-15219574-n	n
