split	deprel	count
train	obj	94805
train	nmod:poss	77570
train	case	73415
train	punct	59840
train	amod	49920
train	nmod	41012
train	cc	39022
train	nsubj	23108
train	ccomp	21504
train	iobj	17883
train	root	15789
train	mark	15114
train	advmod	15033
train	flat	12527
test	obj	11970
dev	obj	11855
train	xcomp	11702
train	nummod	10970
dev	nmod:poss	9781
test	nmod:poss	9586
dev	case	9198
test	case	9107
test	punct	7740
dev	punct	7646
test	amod	6194
dev	amod	5968
test	nmod	5224
dev	nmod	5147
test	cc	5002
dev	cc	4747
train	cop	4215
train	det	3379
test	nsubj	2944
train	aux	2883
dev	nsubj	2824
test	ccomp	2782
dev	ccomp	2697
dev	iobj	2293
test	iobj	2275
dev	root	1986
test	root	1963
dev	advmod	1924
dev	mark	1851
test	mark	1818
test	advmod	1779
test	flat	1754
dev	flat	1603
dev	xcomp	1493
dev	nummod	1430
test	xcomp	1380
test	nummod	1211
train	compound	758
dev	cop	573
test	cop	502
test	det	418
dev	det	405
dev	aux	347
test	aux	344
train	acl	142
dev	compound	123
test	compound	98
train	dep	97
train	appos	86
train	discourse	43
dev	acl	22
dev	appos	20
test	acl	12
test	dep	12
test	discourse	7
dev	dep	6
dev	discourse	5
test	conj	2
dev	advcl	1
test	appos	1
train	advcl	1
train	conj	1
