upos	xpos	count
ADP	PREP	91428
PUNCT	PUNC	74576
CCONJ	CONJ	48743
NOUN	DET+NOUN+CASE_DEF_GEN	40291
NOUN	NOUN+CASE_DEF_GEN	36413
PROPN	NOUN_PROP	35342
VERB	PV+PVSUFF_SUBJ:3MS	16668
ADJ	DET+ADJ+NSUFF_FEM_SG+CASE_DEF_GEN	16426
NOUN	DET+NOUN+NSUFF_FEM_SG+CASE_DEF_GEN	15473
SCONJ	SUB_CONJ	15007
NOUN	NOUN+NSUFF_FEM_SG+CASE_DEF_GEN	13819
ADV	NOUN+CASE_DEF_ACC	12900
NUM	NOUN_NUM	11966
NOUN	NOUN+CASE_INDEF_GEN	11882
ADJ	DET+ADJ+CASE_DEF_GEN	11458
NOUN	NOUN+CASE_DEF_ACC	10431
PRON	REL_PRON	10102
VERB	IV3MS+IV+IVSUFF_MOOD:I	9368
NOUN	DET+NOUN+CASE_DEF_ACC	8383
VERB	PV+PVSUFF_SUBJ:3FS	8301
NOUN	DET+NOUN+CASE_DEF_NOM	8091
NOUN	NOUN+CASE_INDEF_ACC	8024
NOUN	NOUN+CASE_DEF_NOM	7726
PRON	POSS_PRON_3MS	6987
VERB	IV3FS+IV+IVSUFF_MOOD:I	6967
NOUN	DET+NOUN+NSUFF_FEM_PL+CASE_DEF_GEN	6468
PRON	POSS_PRON_3FS	5587
PRON	PRON_3MS	5137
ADJ	ADJ+NSUFF_FEM_SG+CASE_INDEF_GEN	4717
NOUN	NOUN+NSUFF_FEM_SG+CASE_INDEF_GEN	4695
ADV	NEG_PART	4526
PROPN	DET+NOUN_PROP	4367
PRON	PRON_3FS	4162
ADJ	ADJ+CASE_INDEF_ACC	4116
NOUN	NOUN	4050
DET	DEM_PRON_MS	3576
ADJ	DET+ADJ+CASE_DEF_NOM	3357
ADJ	ADJ+CASE_INDEF_GEN	3237
NOUN	DET+NOUN	3168
NOUN	NOUN+NSUFF_FEM_SG+CASE_DEF_ACC	3091
PROPN	ABBREV	3088
NOUN	DET+NOUN+NSUFF_FEM_SG+CASE_DEF_NOM	2923
PROPN	NOUN_PROP+CASE_INDEF_GEN	2826
NOUN	NOUN+NSUFF_FEM_SG+CASE_INDEF_ACC	2777
NOUN	NOUN+NSUFF_FEM_SG+CASE_DEF_NOM	2751
ADJ	DET+ADJ+NSUFF_FEM_SG+CASE_DEF_NOM	2718
NOUN	NOUN+NSUFF_FEM_PL+CASE_DEF_GEN	2713
NOUN	NOUN+CASE_INDEF_NOM	2615
NOUN	DET+NOUN+NSUFF_FEM_SG+CASE_DEF_ACC	2599
NOUN	DET+NOUN+NSUFF_MASC_PL_GEN	2556
ADJ	DET+ADJ+CASE_DEF_ACC	2417
NOUN	NOUN+NSUFF_FEM_PL+CASE_INDEF_GEN	2406
AUX	FUT_PART	2305
ADJ	ADJ+NSUFF_FEM_SG+CASE_INDEF_ACC	2265
ADJ	DET+ADJ+NSUFF_FEM_SG+CASE_DEF_ACC	2259
PROPN	DET+NOUN_PROP+CASE_DEF_GEN	2254
DET	DEM_PRON_F	2220
PRON	POSS_PRON_3MP	2057
NOUN	NOUN_QUANT+CASE_DEF_GEN	1904
ADV	ADV	1794
ADV	NOUN+CASE_DEF_GEN	1770
ADJ	ADJ+NSUFF_FEM_SG+CASE_INDEF_NOM	1747
AUX	PV+PVSUFF_SUBJ:3MS	1690
ADJ	ADJ+CASE_INDEF_NOM	1610
PROPN	NOUN_PROP+CASE_DEF_ACC	1449
ADJ	DET+ADJ	1400
VERB	IV3MS+IV+IVSUFF_MOOD:S	1396
SCONJ	PSEUDO_VERB	1323
AUX	VERB_PART	1308
VERB	IV3MP+IV+IVSUFF_SUBJ:MP_MOOD:I	1219
VERB	PV+PVSUFF_SUBJ:3MP	1207
VERB	IV3FS+IV+IVSUFF_MOOD:S	1161
NOUN	DET+NOUN+NSUFF_FEM_PL+CASE_DEF_ACC	1157
AUX	PSEUDO_VERB	1144
PRON	PVSUFF_DO:3MS	1096
VERB	IV1P+IV+IVSUFF_MOOD:I	1080
PRON	PVSUFF_DO:3FS	1055
VERB	PV_PASS+PVSUFF_SUBJ:3MS	997
NOUN	NOUN+NSUFF_FEM_SG+CASE_INDEF_NOM	984
NOUN	DET+NOUN+NSUFF_FEM_PL+CASE_DEF_NOM	969
PRON	POSS_PRON_1P	967
PRON	IVSUFF_DO:3FS	943
PRON	PRON_3MP	931
AUX	PV+PVSUFF_SUBJ:3FS	893
VERB	IV3MS+IV_PASS+IVSUFF_MOOD:I	890
PRON	IVSUFF_DO:3MS	889
PROPN	DET+NOUN_PROP+NSUFF_FEM_SG+CASE_DEF_GEN	887
NUM	NOUN_NUM+CASE_DEF_GEN	883
ADJ	DET+ADJ+NSUFF_MASC_PL_GEN	879
NOUN	NOUN_QUANT+CASE_DEF_ACC	877
PROPN	NOUN_PROP+CASE_DEF_NOM	826
PRON	PRON_1P	793
ADJ	DET+ADJ_NUM	733
NOUN	DET+NOUN+NSUFF_MASC_PL_ACC	701
NOUN	NOUN+NSUFF_FEM_PL+CASE_INDEF_ACC	700
PROPN	NOUN_PROP+NSUFF_FEM_SG	689
ADJ	ADJ	679
ADV	REL_ADV	664
NOUN	NOUN+NSUFF_FEM_PL+CASE_DEF_ACC	649
VERB	PV_PASS+PVSUFF_SUBJ:3FS	646
VERB	IV3MS+IV+IVSUFF_MOOD:J	630
PART	CONNEC_PART	626
ADJ	DET+ADJ_NUM+CASE_DEF_GEN	610
NOUN	DET+NOUN+NSUFF_MASC_PL_NOM	584
NOUN	ADJ+CASE_INDEF_ACC	583
ADV	NOUN_PROP+CASE_INDEF_GEN	580
PROPN	NOUN	577
PROPN	DET+NOUN_PROP+CASE_DEF_NOM	564
NOUN	NOUN_QUANT+CASE_DEF_NOM	558
VERB	IV3FS+IV_PASS+IVSUFF_MOOD:I	537
NOUN	DET+NOUN+NSUFF_MASC_DU_GEN	517
PUNCT	ABBREV	513
NOUN	NOUN+NSUFF_MASC_PL_GEN	490
ADJ	ADJ_COMP+CASE_DEF_ACC	484
NOUN	NOUN+NSUFF_FEM_PL+CASE_INDEF_NOM	479
VERB	IV1S+IV+IVSUFF_MOOD:I	463
ADV	NOUN	460
NUM	NOUN_NUM+NSUFF_FEM_SG+CASE_DEF_GEN	459
ADJ	DET+ADJ_NUM+NSUFF_FEM_SG+CASE_DEF_GEN	457
ADJ	ADJ_COMP+CASE_DEF_GEN	452
NUM	NOUN_NUM+CASE_DEF_ACC	443
VERB	PV+PVSUFF_SUBJ:1P	442
ADJ	DET+ADJ_COMP+CASE_DEF_GEN	441
PROPN	DET+NOUN	427
PART	PART	408
PRON	POSS_PRON_3D	401
NOUN	NOUN+NSUFF_FEM_PL+CASE_DEF_NOM	399
PART	RESTRIC_PART	396
VERB	IV3FS+IV+IVSUFF_MOOD:J	396
VERB	IV1P+IV+IVSUFF_MOOD:S	383
NOUN	DET+ADJ+CASE_DEF_GEN	381
PROPN	NOUN_PROP+CASE_DEF_GEN	371
ADV	NOUN+CASE_DEF_NOM	370
PRON	POSS_PRON_1S	370
X	ABBREV	358
PRON	PRON_1S	332
ADJ	ADJ+NSUFF_MASC_PL_NOM	322
NOUN	NOUN+NSUFF_MASC_DU_GEN	318
ADJ	ADJ+NSUFF_MASC_PL_ACC	300
ADJ	ADJ_COMP+CASE_DEF_NOM	297
AUX	SUB_CONJ	294
ADV	NOUN+CASE_INDEF_GEN	288
AUX	IV3MS+IV+IVSUFF_MOOD:I	286
DET	DET	285
VERB	IV3MP+IV+IVSUFF_SUBJ:MP_MOOD:SJ	285
AUX	IV3MS+IV+IVSUFF_MOOD:S	281
PART	FOCUS_PART	278
NOUN	NOUN+NSUFF_MASC_PL_NOM	277
PROPN	ADJ	269
ADJ	DET+ADJ+NSUFF_MASC_PL_ACC	268
ADJ	DET+ADJ_COMP	260
VERB	PV+PVSUFF_SUBJ:1S	259
ADV	NOUN_PROP	258
PROPN	PV+PVSUFF_SUBJ:3MS	258
PROPN	DET+NOUN_PROP+NSUFF_FEM_SG	257
NUM	NOUN_NUM+NSUFF_FEM_SG+CASE_DEF_ACC	247
NOUN	NOUN+NSUFF_MASC_PL_GEN_POSS	246
PROPN	DET+NOUN_PROP+CASE_DEF_ACC	245
VERB	PV+PVSUFF_SUBJ:3MD	243
NUM	DET+NOUN_NUM+NSUFF_FEM_SG+CASE_DEF_GEN	239
PRON	PRON_3D	237
ADJ	ADJ+NSUFF_MASC_PL_GEN	232
PART	INTERROG_PART	232
ADJ	ADJ_NUM+CASE_INDEF_ACC	229
PROPN	DET+ADJ_NUM	216
PROPN	DET+NOUN_PROP+NSUFF_FEM_SG+CASE_DEF_NOM	209
ADJ	DET+ADJ_NUM+CASE_DEF_NOM	205
ADV	INTERROG_ADV	204
AUX	IV3FS+IV+IVSUFF_MOOD:S	204
NOUN	DET+NOUN+NSUFF_MASC_DU_ACC	204
PART	RC_PART	191
AUX	IV3FS+IV+IVSUFF_MOOD:I	190
SCONJ	CONJ	187
NOUN	NOUN+NSUFF_MASC_PL_ACC	173
NOUN	DET+NOUN+NSUFF_FEM_DU_GEN	172
