kind	code	replacement	reason
language	aa-saaho	ssy	deprecated
language	aam	aas	deprecated
language	aar	aa	overlong
language	abk	ab	overlong
language	adp	dz	deprecated
language	afr	af	overlong
language	agp	apf	deprecated
language	ais	ami	deprecated
language	ajp	apc	deprecated
language	ajt	aeb	deprecated
language	aju	jrb	macrolanguage
language	aka	ak	overlong
language	alb	sq	bibliographic
language	als	sq	macrolanguage
language	amh	am	overlong
language	ara	ar	overlong
language	arb	ar	macrolanguage
language	arg	an	overlong
language	arm	hy	bibliographic
language	art-lojban	jbo	deprecated
language	asd	snz	deprecated
language	asm	as	overlong
language	aue	ktz	deprecated
language	ava	av	overlong
language	ave	ae	overlong
language	aym	ay	overlong
language	ayr	ay	macrolanguage
language	ayx	nun	deprecated
language	aze	az	overlong
language	azj	az	macrolanguage
language	bak	ba	overlong
language	bam	bm	overlong
language	baq	eu	bibliographic
language	baz	nvo	deprecated
language	bcc	bal	macrolanguage
language	bcl	bik	macrolanguage
language	bel	be	overlong
language	ben	bn	overlong
language	bgm	bcg	deprecated
language	bh	bho	macrolanguage
language	bhk	fbl	deprecated
language	bic	bir	deprecated
language	bih	bho	overlong
language	bis	bi	overlong
language	bjd	drl	deprecated
language	bjq	bzc	deprecated
language	bkb	ebk	deprecated
language	blg	iba	deprecated
language	bod	bo	overlong
language	bos	bs	overlong
language	bre	br	overlong
language	btb	beb	deprecated
language	bul	bg	overlong
language	bur	my	bibliographic
language	bxk	luy	macrolanguage
language	bxr	bua	macrolanguage
language	cat	ca	overlong
language	ccq	rki	deprecated
language	cel-gaulish	xtg	legacy
language	ces	cs	overlong
language	cha	ch	overlong
language	che	ce	overlong
language	chi	zh	bibliographic
language	chu	cu	overlong
language	chv	cv	overlong
language	cjr	mom	deprecated
language	cka	cmr	deprecated
language	cld	syr	macrolanguage
language	cls	sa	macrolanguage
language	cmk	xch	deprecated
language	cmn	zh	macrolanguage
language	cnr	sr-ME	legacy
language	cor	kw	overlong
language	cos	co	overlong
language	coy	pij	deprecated
language	cqu	quh	deprecated
language	cre	cr	overlong
language	cwd	cr	macrolanguage
language	cym	cy	overlong
language	cze	cs	bibliographic
language	daf	dnj	deprecated
language	dan	da	overlong
language	dap	njz	deprecated
language	dek	sqm	deprecated
language	deu	de	overlong
language	dgo	doi	macrolanguage
language	dhd	mwr	macrolanguage
language	dik	din	macrolanguage
language	diq	zza	macrolanguage
language	dit	dif	deprecated
language	div	dv	overlong
language	djl	dze	deprecated
language	dkl	aqd	deprecated
language	drh	mn	deprecated
language	drr	kzk	deprecated
language	drw	fa-AF	deprecated
language	dud	uth	deprecated
language	duj	dwu	deprecated
language	dut	nl	bibliographic
language	dwl	dbt	deprecated
language	dzo	dz	overlong
language	ekk	et	macrolanguage
language	ell	el	overlong
language	elp	amq	deprecated
language	emk	man	macrolanguage
language	en-GB-oed	en-GB-oxendict	deprecated
language	eng	en	overlong
language	epo	eo	overlong
language	esk	ik	macrolanguage
language	est	et	overlong
