entry	scowlSize	tags	partOfSpeech	posClass	sourceLineNumber	scowlInfo
-	50		n	abbr?	32226	50 hacker
-	65		n	abbr?	73385	65
-	50		n	abbr?	232162	50 hacker
-	65		m	abbr?	238851	65
-	80	ucacr	n	abbr?	299053	80 [ucacr]
-	65		n	abbr?	315630	65
-	50		n	abbr?	357167	50 hacker
-A.D.	80	moby	abbr		3442	80 [moby]
-a.m.	80	moby	abbr		10688	80 [moby]
-A.M.	80	moby	abbr		10690	80 [moby]
-ab	60		abbr		87	60
-ABC	85	ukacd	abbr		274	85 [ukacd]
-adj.	70	3of6	unclassified	abbr?	3986	70 [3of6]
-adv.	70	3of6	unclassified	abbr?	4628	70 [3of6]
-AFAIK	50		n	abbr?	5403	50 hacker
-Ala.	80	moby	abbr		7742	80 [moby]
-anon	50		abbr		14611	50
-anon.	80	moby	abbr		14615	80 [moby]
-app	50	+	abbr		17953	50 [+]
-approx.	70	3of6	unclassified	abbr?	18524	70 [3of6]
-Apr.	70	3of6	unclassified	abbr?	18562	70 [3of6]
-apt.	70	3of6	unclassified	abbr?	18637	70 [3of6]
-Ar	80		abbr		18889	80
-Ark.	80	moby	abbr		20487	80 [moby]
-arr.	70	3of6	unclassified	abbr?	20929	70 [3of6]
-Assn.	70	3of6	unclassified	abbr?	22747	70 [3of6]
-asst.	70	3of6	unclassified	abbr?	22839	70 [3of6]
-attn.	70	3of6	unclassified	abbr?	24380	70 [3of6]
-Aug.	70	3of6	unclassified	abbr?	24776	70 [3of6]
-Ave.	70	3of6	unclassified	abbr?	26074	70 [3of6]
-b.	70	3of6	unclassified	abbr?	27061	70 [3of6]
-B.A.	80	moby	abbr		27079	80 [moby]
-B.C.	80	moby	abbr		32234	80 [moby]
-B.C.E.	80	moby	abbr		32240	80 [moby]
-B.Ed.	70	3of6	unclassified	abbr?	32997	70 [3of6]
-B.O.	80	moby	abbr		41564	80 [moby]
-B.S.	70	3of6	unclassified	abbr?	48711	70 [3of6]
-B.Sc.	70	3of6	unclassified	abbr?	48727	70 [3of6]
-B.T.U.	80	moby	abbr		48753	80 [moby]
-Bart	85	ukacd	abbr		30943	85 [ukacd]
-bldg.	70	3of6	unclassified	abbr?	40080	70 [3of6]
-Blvd.	70	3of6	unclassified	abbr?	41519	70 [3of6]
-bps	60		abbr		45030	60
-Br	80		abbr		45042	80
-Br.	70	3of6	unclassified	abbr?	45038	70 [3of6]
-bro	60		abbr		47398	60
-Bros.	70	3of6	unclassified	abbr?	48061	70 [3of6]
-c.	70	3of6	unclassified	abbr?	51839	70 [3of6]
-C.E.	80	moby	abbr		59961	80 [moby]
-C.O.D.	80	moby	abbr		72437	80 [moby]
-ca.	70	3of6	unclassified	abbr?	51853	70 [3of6]
-Calif.	80	moby	abbr		53220	80 [moby]
-Capt.	70	3of6	unclassified	abbr?	55862	70 [3of6]
-cc	35		abbr		59907	35
-cent.	70	3of6	unclassified	abbr?	60547	70 [3of6]
-cert.	70	3of6	unclassified	abbr?	61281	70 [3of6]
-cf.	80	moby	abbr		61552	80 [moby]
-ch.	70	3of6	unclassified	abbr?	61575	70 [3of6]
-chap.	70	3of6	unclassified	abbr?	62499	70 [3of6]
-cl	60		abbr		68860	60
-cm	40		abbr		71361	40
-Cmdr.	70	3of6	unclassified	abbr?	71371	70 [3of6]
-Co	80		abbr		71430	80
-Co.	70	3of6	unclassified	abbr?	71426	70 [3of6]
-col.	70	3of6	unclassified	abbr?	73376	70 [3of6]
-Col.	70	3of6	unclassified	abbr?	73378	70 [3of6]
-Colo.	80	moby	abbr		74116	80 [moby]
-cont.	70	3of6	unclassified	abbr?	79641	70 [3of6]
-contd.	70	3of6	unclassified	abbr?	79742	70 [3of6]
-Corp.	70	3of6	unclassified	abbr?	82612	70 [3of6]
-cos	60		abbr		83251	60
-Cpl.	70	3of6	unclassified	abbr?	85564	70 [3of6]
-cps	60		abbr		85570	60
-ct.	70	3of6	unclassified	abbr?	89006	70 [3of6]
-cu.	70	3of6	unclassified	abbr?	89050	70 [3of6]
-cwt	60		abbr		90852	60
-d.	70	3of6	unclassified	abbr?	91838	70 [3of6]
-D.	70	3of6	unclassified	abbr?	91840	70 [3of6]
-D.A.	80	moby	abbr		91853	80 [moby]
-D.C.	80	moby	abbr		93967	80 [moby]
-d.o.b.	70	3of6	unclassified	abbr?	108264	70 [3of6]
-Dec.	70	3of6	unclassified	abbr?	94746	70 [3of6]
-deg.	70	3of6	unclassified	abbr?	96605	70 [3of6]
-Del.	80	moby	abbr		97018	80 [moby]
-Dem.	70	3of6	unclassified	abbr?	97570	70 [3of6]
-dep.	70	3of6	unclassified	abbr?	98760	70 [3of6]
-dept.	70	3of6	unclassified	abbr?	99202	70 [3of6]
-div.	70	3of6	unclassified	abbr?	107735	70 [3of6]
-doz.	70	3of6	unclassified	abbr?	111173	70 [3of6]
-Dr.	80	moby	abbr		111233	80 [moby]
-E.	70	3of6	unclassified	abbr?	115013	70 [3of6]
-e.g.	80	moby	abbr		117284	80 [moby]
-ed.	70	3of6	unclassified	abbr?	116533	70 [3of6]
-emf	60		abbr		120036	60
-enc.	70	3of6	unclassified	abbr?	120757	70 [3of6]
-encl.	70	3of6	unclassified	abbr?	120950	70 [3of6]
-Eng.	70	3of6	unclassified	abbr?	121862	70 [3of6]
-esp.	70	3of6	unclassified	abbr?	125959	70 [3of6]
-Esq.	70	3of6	unclassified	abbr?	126041	70 [3of6]
-est.	70	3of6	unclassified	abbr?	126158	70 [3of6]
-et al.	80	moby	abbr		126489	80 [moby]
