granularity	property	rangeCount	likelySubtag
grapheme	Control	26	en-Latn-US
grapheme	CR	1	en-Latn-US
grapheme	Extend	420	en-Latn-US
grapheme	L	2	en-Latn-US
grapheme	LF	1	en-Latn-US
grapheme	LV	399	en-Latn-US
grapheme	LVT	399	en-Latn-US
grapheme	Prepend	15	en-Latn-US
grapheme	Regional_Indicator	1	en-Latn-US
grapheme	SpacingMark	158	en-Latn-US
grapheme	T	2	en-Latn-US
grapheme	V	4	en-Latn-US
grapheme	ZWJ	1	en-Latn-US
sentence	ATerm	4	en-Latn-US
sentence	Close	183	en-Latn-US
sentence	CR	1	en-Latn-US
sentence	Extend	566	en-Latn-US
sentence	Format	15	en-Latn-US
sentence	LF	1	en-Latn-US
sentence	Lower	689	en-Latn-US
sentence	Numeric	80	en-Latn-US
sentence	OLetter	612	en-Latn-US
sentence	SContinue	22	en-Latn-US
sentence	Sep	3	en-Latn-US
sentence	Sp	9	en-Latn-US
sentence	STerm	84	en-Latn-US
sentence	Upper	661	en-Latn-US
word	ALetter	692	en-Latn-US
word	CR	1	en-Latn-US
word	Double_Quote	1	en-Latn-US
word	Extend	567	en-Latn-US
word	ExtendNumLet	7	en-Latn-US
word	Format	13	en-Latn-US
word	Hebrew_Letter	10	en-Latn-US
word	Katakana	19	en-Latn-US
word	LF	1	en-Latn-US
word	MidLetter	9	en-Latn-US
word	MidNum	12	en-Latn-US
word	MidNumLet	7	en-Latn-US
word	Newline	4	en-Latn-US
word	Numeric	80	en-Latn-US
word	Regional_Indicator	1	en-Latn-US
word	Single_Quote	1	en-Latn-US
word	WSegSpace	6	en-Latn-US
word	ZWJ	1	en-Latn-US
