entry	scowlSize	tags	partOfSpeech	posClass	sourceLineNumber	scowlInfo
-	50		pn		431754	50
@thou	50		pn		390115	50
@whoso	60		pn		431932	60
a	35		d		7	35
aboard	35		pp		706	35
about	35		pp		859	35
above	35		pp		880	35
across	35		pp		3051	35
after	35		c		5892	35
after	35		pp		5894	35
against	35		pp		6044	35
ain't	35		s		7159	35
albeit	35		c		7990	35
alias	35		pp		8816	35
all	35		d		9129	35
all-around	35		d		9177	35
along	35		pp		10031	35
alongside	35		pp		10039	35
altho	35		c		10423	35
although	35		c		10422	35
amid	35		pp		11481	35
amidst	35		pp		11482	35
amidst	35	ukfreq	pp		11484	35 [ukfreq] 40
among	35		pp		11784	35
amongst	35		pp		11785	35
an	35		d		12312	35
and	35		c		13054	35
anent	60		c		13348	60
another	35		pn		14699	35
another	35		d		14701	35
anti	50		c		15311	50
any	35		d		17045	35
anybody	35		pn		17047	35
anyone	35		pn		17069	35
anything	35		pn		17077	35
aren't	35		s		19962	35
around	35		pp		20879	35
as	35		c		21619	35
as	35		pp		21621	35
aslant	50		c		22180	50
at	35		pp		23425	35
bar	35		c		29972	35
barring	35		pp		30889	35
because	35		c		32871	35
because	35		pp		32873	35
before	35		c		33566	35
before	35		pp		33568	35
behind	35		pp		33810	35
below	35		pp		34473	35
beneath	35		pp		34719	35
beside	35		pp		35659	35
besides	35		pp		35665	35
betcha	35		s		35932	35
between	35		pp		36119	35
beyond	35		pp		36297	35
both	35		d		44043	35
but	35		c		51109	35
by	35		pp		51558	35
c'mon	60	coca	s		71377	60 [coca]
can't	35		s		55039	35
certain	35		pn		61286	35
chez	60	5desk coca moby	pp		64504	60 [coca] 70 [5desk] [moby] 80
circa	35		c		68040	35
considering	35		c		79079	35
considering	35		pp		79081	35
cos	60		c		83249	60
could've	50	+ 3of6	s		83995	50 [+] 70 [3of6]
couldn't	35		s		83989	35
cum	60		c		89552	60
despite	35		pp		100095	35
didn't	35		s		102528	35
doesn't	35		s		108662	35
don't	35		s		109660	35
down	35		pp		110821	35
dunno	35		s		113908	35
during	35		pp		114181	35
each	35		pn		115030	35
each	35		d		115032	35
either	35		c		117697	35
either	35		d		117699	35
enough	35		c		122429	35
enough	35		d		122431	35
ere	50		c		124948	50
ere	50		pp		124950	50
ergo	35	ukfreq	c		125066	35 [ukfreq] 60
even	35		c		128010	35
every	35		d		128181	35
everybody	35		pn		128185	35
everyone	35		pn		128203	35
everything	35		pn		128213	35
ex	40		pp		128433	40
except	35		c		128680	35
except	35		pp		128682	35
excepting	35	ukfreq	pp		128690	35 [ukfreq] 50
excluding	35	ukfreq	pp		128888	35 [ukfreq] 40
failing	35		c		131957	35
few	35		d		135845	35
following	35		pp		141395	35
for	35		pp		141900	35
former	35		d		143009	35
