partOfSpeech	posClass	formRole	count
n		lemma	104831
n		derived	93296
unclassified		lemma	40001
v		derived	21609
aj		lemma	18022
m		derived	17358
n_v		derived	12126
n	place	lemma	11200
n	upper?	lemma	8801
v		lemma	8754
unclassified	upper?	lemma	6630
m		lemma	6196
n	upper	lemma	5839
n	upper?	derived	4874
n	name?	lemma	4731
n	upper	derived	4577
n_v		lemma	3565
n	name?	derived	3556
av		lemma	3553
a		lemma	3450
aj		derived	2715
abbr		lemma	2161
n	person	lemma	1874
n	person	derived	1873
a		derived	1296
n	place	derived	1156
n	surname	derived	780
n	surname	lemma	780
unclassified	abbr?	lemma	577
n	demonym	derived	534
pre		lemma	495
aj_av		lemma	451
n	demonym	lemma	371
suf		lemma	363
aj	upper	lemma	289
aj	upper?	lemma	223
m	upper?	derived	219
i		lemma	205
aj_av		derived	202
aj	demonym	lemma	188
n_v	upper?	derived	174
x		lemma	162
unclassified		derived	144
n	trademark	lemma	118
n	trademark	derived	112
pp		lemma	94
s		lemma	94
c		lemma	81
m	upper?	lemma	81
v	upper?	derived	78
pn		derived	59
n_v	upper?	lemma	58
n	number	derived	53
n	number	lemma	53
n	ordinal	derived	51
n	ordinal	lemma	51
n	name	lemma	37
d		lemma	36
n	name	derived	36
pn		lemma	36
n	abbr?	lemma	35
av		derived	30
v	upper?	lemma	30
n	abbr?	derived	25
unclassified	name?	lemma	23
n	abbr	derived	19
pre	upper?	lemma	14
v	trademark	derived	14
n	abbr	lemma	12
wp		lemma	12
av	upper	lemma	11
m	abbr?	derived	11
v	upper	derived	11
av	abbr?	lemma	9
v	trademark	lemma	9
a	upper?	derived	8
d		derived	8
wp	name?	lemma	8
m	abbr?	lemma	7
v	upper	lemma	7
we	name?	lemma	7
m	upper	derived	6
v	abbr?	derived	6
we	name?	derived	6
a	upper?	lemma	5
aj	abbr?	lemma	4
aj	name?	lemma	4
m	upper	lemma	4
s	upper?	lemma	4
unclassified	demonym	lemma	4
av	upper?	lemma	3
m	trademark	derived	3
n_v	ordinal	derived	3
unclassified	trademark	lemma	3
unclassified	upper	lemma	3
m	trademark	lemma	2
pl		lemma	2
v	abbr?	lemma	2
wp	place	lemma	2
n_v	ordinal	lemma	1
n_v	upper	derived	1
n_v	upper	lemma	1
we		lemma	1
