start	end	script	comment
0041	005A	Latin	L&  [26] LATIN CAPITAL LETTER A..LATIN CAPITAL LETTER Z
0061	007A	Latin	L&  [26] LATIN SMALL LETTER A..LATIN SMALL LETTER Z
00AA	00AA	Latin	Lo       FEMININE ORDINAL INDICATOR
00BA	00BA	Latin	Lo       MASCULINE ORDINAL INDICATOR
00C0	00D6	Latin	L&  [23] LATIN CAPITAL LETTER A WITH GRAVE..LATIN CAPITAL LETTER O WITH DIAERESIS
00D8	00F6	Latin	L&  [31] LATIN CAPITAL LETTER O WITH STROKE..LATIN SMALL LETTER O WITH DIAERESIS
00F8	01BA	Latin	L& [195] LATIN SMALL LETTER O WITH STROKE..LATIN SMALL LETTER EZH WITH TAIL
01BB	01BB	Latin	Lo       LATIN LETTER TWO WITH STROKE
01BC	01BF	Latin	L&   [4] LATIN CAPITAL LETTER TONE FIVE..LATIN LETTER WYNN
01C0	01C3	Latin	Lo   [4] LATIN LETTER DENTAL CLICK..LATIN LETTER RETROFLEX CLICK
01C4	0293	Latin	L& [208] LATIN CAPITAL LETTER DZ WITH CARON..LATIN SMALL LETTER EZH WITH CURL
0294	0295	Latin	Lo   [2] LATIN LETTER GLOTTAL STOP..LATIN LETTER PHARYNGEAL VOICED FRICATIVE
0296	02AF	Latin	L&  [26] LATIN LETTER INVERTED GLOTTAL STOP..LATIN SMALL LETTER TURNED H WITH FISHHOOK AND TAIL
02B0	02B8	Latin	Lm   [9] MODIFIER LETTER SMALL H..MODIFIER LETTER SMALL Y
02E0	02E4	Latin	Lm   [5] MODIFIER LETTER SMALL GAMMA..MODIFIER LETTER SMALL REVERSED GLOTTAL STOP
1D00	1D25	Latin	L&  [38] LATIN LETTER SMALL CAPITAL A..LATIN LETTER AIN
1D2C	1D5C	Latin	Lm  [49] MODIFIER LETTER CAPITAL A..MODIFIER LETTER SMALL AIN
1D62	1D65	Latin	Lm   [4] LATIN SUBSCRIPT SMALL LETTER I..LATIN SUBSCRIPT SMALL LETTER V
1D6B	1D77	Latin	L&  [13] LATIN SMALL LETTER UE..LATIN SMALL LETTER TURNED G
1D79	1D9A	Latin	L&  [34] LATIN SMALL LETTER INSULAR G..LATIN SMALL LETTER EZH WITH RETROFLEX HOOK
1D9B	1DBE	Latin	Lm  [36] MODIFIER LETTER SMALL TURNED ALPHA..MODIFIER LETTER SMALL EZH
1E00	1EFF	Latin	L& [256] LATIN CAPITAL LETTER A WITH RING BELOW..LATIN SMALL LETTER Y WITH LOOP
2071	2071	Latin	Lm       SUPERSCRIPT LATIN SMALL LETTER I
207F	207F	Latin	Lm       SUPERSCRIPT LATIN SMALL LETTER N
2090	209C	Latin	Lm  [13] LATIN SUBSCRIPT SMALL LETTER A..LATIN SUBSCRIPT SMALL LETTER T
212A	212B	Latin	L&   [2] KELVIN SIGN..ANGSTROM SIGN
2132	2132	Latin	L&       TURNED CAPITAL F
214E	214E	Latin	L&       TURNED SMALL F
2160	2182	Latin	Nl  [35] ROMAN NUMERAL ONE..ROMAN NUMERAL TEN THOUSAND
2183	2184	Latin	L&   [2] ROMAN NUMERAL REVERSED ONE HUNDRED..LATIN SMALL LETTER REVERSED C
2185	2188	Latin	Nl   [4] ROMAN NUMERAL SIX LATE FORM..ROMAN NUMERAL ONE HUNDRED THOUSAND
2C60	2C7B	Latin	L&  [28] LATIN CAPITAL LETTER L WITH DOUBLE BAR..LATIN LETTER SMALL CAPITAL TURNED E
2C7C	2C7D	Latin	Lm   [2] LATIN SUBSCRIPT SMALL LETTER J..MODIFIER LETTER CAPITAL V
2C7E	2C7F	Latin	L&   [2] LATIN CAPITAL LETTER S WITH SWASH TAIL..LATIN CAPITAL LETTER Z WITH SWASH TAIL
A722	A76F	Latin	L&  [78] LATIN CAPITAL LETTER EGYPTOLOGICAL ALEF..LATIN SMALL LETTER CON
A770	A770	Latin	Lm       MODIFIER LETTER US
A771	A787	Latin	L&  [23] LATIN SMALL LETTER DUM..LATIN SMALL LETTER INSULAR T
A78B	A78E	Latin	L&   [4] LATIN CAPITAL LETTER SALTILLO..LATIN SMALL LETTER L WITH RETROFLEX HOOK AND BELT
A78F	A78F	Latin	Lo       LATIN LETTER SINOLOGICAL DOT
A790	A7DC	Latin	L&  [77] LATIN CAPITAL LETTER N WITH DESCENDER..LATIN CAPITAL LETTER LAMBDA WITH STROKE
A7F1	A7F4	Latin	Lm   [4] MODIFIER LETTER CAPITAL S..MODIFIER LETTER CAPITAL Q
A7F5	A7F6	Latin	L&   [2] LATIN CAPITAL LETTER REVERSED HALF H..LATIN SMALL LETTER REVERSED HALF H
A7F7	A7F7	Latin	Lo       LATIN EPIGRAPHIC LETTER SIDEWAYS I
A7F8	A7F9	Latin	Lm   [2] MODIFIER LETTER CAPITAL H WITH STROKE..MODIFIER LETTER SMALL LIGATURE OE
A7FA	A7FA	Latin	L&       LATIN LETTER SMALL CAPITAL TURNED M
A7FB	A7FF	Latin	Lo   [5] LATIN EPIGRAPHIC LETTER REVERSED F..LATIN EPIGRAPHIC LETTER ARCHAIC M
AB30	AB5A	Latin	L&  [43] LATIN SMALL LETTER BARRED ALPHA..LATIN SMALL LETTER Y WITH SHORT RIGHT LEG
AB5C	AB5F	Latin	Lm   [4] MODIFIER LETTER SMALL HENG..MODIFIER LETTER SMALL U WITH LEFT HOOK
AB60	AB64	Latin	L&   [5] LATIN SMALL LETTER SAKHA YAT..LATIN SMALL LETTER INVERTED ALPHA
AB66	AB68	Latin	L&   [3] LATIN SMALL LETTER DZ DIGRAPH WITH RETROFLEX HOOK..LATIN SMALL LETTER TURNED R WITH MIDDLE TILDE
AB69	AB69	Latin	Lm       MODIFIER LETTER SMALL TURNED W
FB00	FB06	Latin	L&   [7] LATIN SMALL LIGATURE FF..LATIN SMALL LIGATURE ST
FF21	FF3A	Latin	L&  [26] FULLWIDTH LATIN CAPITAL LETTER A..FULLWIDTH LATIN CAPITAL LETTER Z
FF41	FF5A	Latin	L&  [26] FULLWIDTH LATIN SMALL LETTER A..FULLWIDTH LATIN SMALL LETTER Z
10780	10785	Latin	Lm   [6] MODIFIER LETTER SMALL CAPITAL AA..MODIFIER LETTER SMALL B WITH HOOK
10787	107B0	Latin	Lm  [42] MODIFIER LETTER SMALL DZ DIGRAPH..MODIFIER LETTER SMALL V WITH RIGHT HOOK
107B2	107BA	Latin	Lm   [9] MODIFIER LETTER SMALL CAPITAL Y..MODIFIER LETTER SMALL S WITH CURL
1DF00	1DF09	Latin	L&  [10] LATIN SMALL LETTER FENG DIGRAPH WITH TRILL..LATIN SMALL LETTER T WITH HOOK AND RETROFLEX HOOK
1DF0A	1DF0A	Latin	Lo       LATIN LETTER RETROFLEX CLICK WITH RETROFLEX HOOK
1DF0B	1DF1E	Latin	L&  [20] LATIN SMALL LETTER ESH WITH DOUBLE BAR..LATIN SMALL LETTER S WITH CURL
1DF25	1DF2A	Latin	L&   [6] LATIN SMALL LETTER D WITH MID-HEIGHT LEFT HOOK..LATIN SMALL LETTER T WITH MID-HEIGHT LEFT HOOK
