split	deprel	count
train	det	53737
train	case	51359
train	punct	39017
train	nmod	31517
train	amod	17687
train	nsubj	16790
train	root	14450
train	obl:mod	13663
train	conj	12723
train	advmod	12618
train	obj	11459
train	cc	9614
train	obl:arg	7856
train	flat:name	6212
train	mark	5914
train	appos	5633
dev	det	5464
dev	case	5249
train	cop	4922
train	acl	4332
train	xcomp	3971
dev	punct	3802
train	aux:tense	3368
train	nsubj:pass	3281
dev	nmod	3208
train	nummod	3191
train	aux:pass	3048
train	advcl	2913
train	acl:relcl	2884
train	fixed	2848
dev	amod	1889
dev	nsubj	1670
dev	root	1476
test	det	1460
dev	obl:mod	1399
train	obl:agent	1384
test	case	1309
train	ccomp	1278
dev	advmod	1239
dev	conj	1201
test	punct	1186
dev	obj	1128
train	flat:foreign	994
dev	cc	963
train	expl:pv	884
test	nmod	857
dev	obl:arg	853
train	parataxis	822
train	expl:subj	799
train	iobj	769
dev	flat:name	671
train	expl:pass	621
dev	appos	582
dev	mark	570
test	nsubj	520
train	obj:lvc	491
dev	cop	485
test	amod	484
test	advmod	473
dev	acl	421
test	root	416
dev	xcomp	388
test	obj	344
dev	nummod	339
dev	aux:tense	337
test	obl:mod	337
test	conj	319
dev	nsubj:pass	318
dev	fixed	296
dev	advcl	293
dev	aux:pass	291
dev	acl:relcl	286
test	cc	256
test	mark	244
train	aux:caus	218
test	obl:arg	192
train	expl:comp	183
train	advcl:cleft	181
train	orphan	180
train	csubj	172
train	parataxis:insert	158
test	cop	153
dev	obl:agent	137
test	aux:tense	132
test	flat:name	122
train	nsubj:caus	119
test	xcomp	115
test	appos	112
test	nummod	110
test	advcl	109
test	acl	107
dev	expl:pv	104
dev	ccomp	102
test	fixed	99
train	obj:agent	95
dev	expl:subj	86
dev	flat:foreign	78
dev	parataxis	74
test	acl:relcl	70
dev	iobj	69
test	nsubj:pass	64
test	aux:pass	62
dev	expl:pass	55
test	ccomp	55
dev	obj:lvc	46
test	expl:subj	46
train	dislocated	44
train	discourse	39
test	parataxis	37
test	obl:agent	33
test	iobj	32
test	expl:pv	29
train	goeswith	29
train	dep	28
dev	advcl:cleft	23
train	csubj:pass	22
train	iobj:agent	21
dev	aux:caus	20
train	nsubj:outer	19
dev	orphan	17
test	obj:lvc	17
dev	csubj	16
train	obl	16
dev	expl:comp	15
train	dep:comp	14
train	dislocated:subj	14
train	flat	14
train	vocative	14
test	expl:comp	13
test	parataxis:insert	13
dev	parataxis:insert	12
test	aux:caus	12
test	orphan	11
test	csubj	10
test	expl:pass	10
dev	nsubj:caus	9
dev	obj:agent	9
train	aux	9
test	advcl:cleft	8
dev	goeswith	7
test	discourse	7
test	obj:agent	7
dev	dislocated	6
train	compound	6
test	dislocated:subj	5
test	nsubj:caus	4
dev	dep	3
dev	discourse	3
dev	nsubj:outer	3
dev	obl	3
test	flat:foreign	3
train	dislocated:obj	3
dev	csubj:pass	2
test	csubj:pass	2
test	dislocated:obj	2
test	flat	2
test	goeswith	2
test	iobj:agent	2
dev	aux	1
dev	dep:comp	1
dev	iobj:agent	1
dev	vocative	1
test	dislocated:mod	1
test	nsubj:outer	1
test	obl	1
