feature	value	count
Number	Sing	169764
Gender	Masc	97470
Gender	Fem	70706
Number	Plur	54187
PronType	Art	53469
Definite	Def	43302
Person	3	36664
VerbForm	Fin	24877
Mood	Ind	23930
Tense	Pres	20393
PronType	Prs	15702
VerbForm	Part	13769
Definite	Ind	10168
Emph	No	9832
Voice	Pass	7693
Case	Nom	6758
VerbForm	Inf	6170
Poss	Yes	4359
Person[psor]	3	3938
PronType	Dem	3847
PronType	Rel	3502
Voice	Act	3467
Number[psor]	Sing	3449
Polarity	Neg	3237
Reflex	Yes	2490
PronType	Ind	2383
Tense	Imp	2037
Person	1	2012
Foreign	Yes	1946
ExtPos	ADV	1942
Tense	Past	1592
Typo	Yes	936
Number[psor]	Plur	912
Tense	Fut	855
Case	Acc	801
ExtPos	PROPN	636
Person	2	623
Case	Dat	506
ExtPos	NOUN	482
Emph	Yes	466
Mood	Cnd	431
ExtPos	PRON	429
Mood	Sub	379
Person[psor]	1	326
ExtPos	SCONJ	318
ExtPos	CCONJ	311
ExtPos	ADP	308
PronType	Int	227
PronType	Neg	225
NumType	Ord	216
Mood	Imp	137
Person[psor]	2	97
ExtPos	DET	79
ExtPos	ADJ	55
ExtPos	VERB	18
PronType	Exc	13
ExtPos	INTJ	3
Polarity	Pos	3
ExtPos	NUM	2
