start	end	generalCategory	comment
0021	0023	Po	[3] EXCLAMATION MARK..NUMBER SIGN
0025	0027	Po	[3] PERCENT SIGN..APOSTROPHE
0028	0028	Ps	LEFT PARENTHESIS
0029	0029	Pe	RIGHT PARENTHESIS
002A	002A	Po	ASTERISK
002C	002C	Po	COMMA
002D	002D	Pd	HYPHEN-MINUS
002E	002F	Po	[2] FULL STOP..SOLIDUS
003A	003B	Po	[2] COLON..SEMICOLON
003F	0040	Po	[2] QUESTION MARK..COMMERCIAL AT
005B	005B	Ps	LEFT SQUARE BRACKET
005C	005C	Po	REVERSE SOLIDUS
005D	005D	Pe	RIGHT SQUARE BRACKET
005F	005F	Pc	LOW LINE
007B	007B	Ps	LEFT CURLY BRACKET
007D	007D	Pe	RIGHT CURLY BRACKET
00A1	00A1	Po	INVERTED EXCLAMATION MARK
00A7	00A7	Po	SECTION SIGN
00AB	00AB	Pi	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
00B6	00B7	Po	[2] PILCROW SIGN..MIDDLE DOT
00BB	00BB	Pf	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
00BF	00BF	Po	INVERTED QUESTION MARK
037E	037E	Po	GREEK QUESTION MARK
0387	0387	Po	GREEK ANO TELEIA
055A	055F	Po	[6] ARMENIAN APOSTROPHE..ARMENIAN ABBREVIATION MARK
0589	0589	Po	ARMENIAN FULL STOP
058A	058A	Pd	ARMENIAN HYPHEN
05BE	05BE	Pd	HEBREW PUNCTUATION MAQAF
05C0	05C0	Po	HEBREW PUNCTUATION PASEQ
05C3	05C3	Po	HEBREW PUNCTUATION SOF PASUQ
05C6	05C6	Po	HEBREW PUNCTUATION NUN HAFUKHA
05F3	05F4	Po	[2] HEBREW PUNCTUATION GERESH..HEBREW PUNCTUATION GERSHAYIM
0609	060A	Po	[2] ARABIC-INDIC PER MILLE SIGN..ARABIC-INDIC PER TEN THOUSAND SIGN
060C	060D	Po	[2] ARABIC COMMA..ARABIC DATE SEPARATOR
061B	061B	Po	ARABIC SEMICOLON
061D	061F	Po	[3] ARABIC END OF TEXT MARK..ARABIC QUESTION MARK
066A	066D	Po	[4] ARABIC PERCENT SIGN..ARABIC FIVE POINTED STAR
06D4	06D4	Po	ARABIC FULL STOP
0700	070D	Po	[14] SYRIAC END OF PARAGRAPH..SYRIAC HARKLEAN ASTERISCUS
07F7	07F9	Po	[3] NKO SYMBOL GBAKURUNEN..NKO EXCLAMATION MARK
0830	083E	Po	[15] SAMARITAN PUNCTUATION NEQUDAA..SAMARITAN PUNCTUATION ANNAAU
085E	085E	Po	MANDAIC PUNCTUATION
0964	0965	Po	[2] DEVANAGARI DANDA..DEVANAGARI DOUBLE DANDA
0970	0970	Po	DEVANAGARI ABBREVIATION SIGN
09FD	09FD	Po	BENGALI ABBREVIATION SIGN
0A76	0A76	Po	GURMUKHI ABBREVIATION SIGN
0AF0	0AF0	Po	GUJARATI ABBREVIATION SIGN
0C77	0C77	Po	TELUGU SIGN SIDDHAM
0C84	0C84	Po	KANNADA SIGN SIDDHAM
0DF4	0DF4	Po	SINHALA PUNCTUATION KUNDDALIYA
0E4F	0E4F	Po	THAI CHARACTER FONGMAN
0E5A	0E5B	Po	[2] THAI CHARACTER ANGKHANKHU..THAI CHARACTER KHOMUT
0F04	0F12	Po	[15] TIBETAN MARK INITIAL YIG MGO MDUN MA..TIBETAN MARK RGYA GRAM SHAD
0F14	0F14	Po	TIBETAN MARK GTER TSHEG
0F3A	0F3A	Ps	TIBETAN MARK GUG RTAGS GYON
0F3B	0F3B	Pe	TIBETAN MARK GUG RTAGS GYAS
0F3C	0F3C	Ps	TIBETAN MARK ANG KHANG GYON
0F3D	0F3D	Pe	TIBETAN MARK ANG KHANG GYAS
0F85	0F85	Po	TIBETAN MARK PALUTA
0FD0	0FD4	Po	[5] TIBETAN MARK BSKA- SHOG GI MGO RGYAN..TIBETAN MARK CLOSING BRDA RNYING YIG MGO SGAB MA
0FD9	0FDA	Po	[2] TIBETAN MARK LEADING MCHAN RTAGS..TIBETAN MARK TRAILING MCHAN RTAGS
104A	104F	Po	[6] MYANMAR SIGN LITTLE SECTION..MYANMAR SYMBOL GENITIVE
10FB	10FB	Po	GEORGIAN PARAGRAPH SEPARATOR
1360	1368	Po	[9] ETHIOPIC SECTION MARK..ETHIOPIC PARAGRAPH SEPARATOR
1400	1400	Pd	CANADIAN SYLLABICS HYPHEN
166E	166E	Po	CANADIAN SYLLABICS FULL STOP
169B	169B	Ps	OGHAM FEATHER MARK
169C	169C	Pe	OGHAM REVERSED FEATHER MARK
16EB	16ED	Po	[3] RUNIC SINGLE PUNCTUATION..RUNIC CROSS PUNCTUATION
1735	1736	Po	[2] PHILIPPINE SINGLE PUNCTUATION..PHILIPPINE DOUBLE PUNCTUATION
17D4	17D6	Po	[3] KHMER SIGN KHAN..KHMER SIGN CAMNUC PII KUUH
17D8	17DA	Po	[3] KHMER SIGN BEYYAL..KHMER SIGN KOOMUUT
1800	1805	Po	[6] MONGOLIAN BIRGA..MONGOLIAN FOUR DOTS
1806	1806	Pd	MONGOLIAN TODO SOFT HYPHEN
1807	180A	Po	[4] MONGOLIAN SIBE SYLLABLE BOUNDARY MARKER..MONGOLIAN NIRUGU
