form	observedCount	exampleSentenceId
pas.	6850	3100
moi.	4779	3130
a.	4675	3131
Tom.	4170	8901
toi.	3448	3423
ici.	3388	3342
lui.	2917	3190
hui.	2266	3213
ans.	1701	3363
vie.	1695	3204
eau.	1122	7878
dit.	1117	1593
eux.	1092	3212
mal.	900	6420
tôt.	804	3545
bas.	803	4131
ami.	794	3243
lit.	702	3211
peu.	577	12526
bus.	550	6407
bon.	547	6808
rue.	537	3708
un.	511	3499
vu.	486	6859
nom.	477	6542
feu.	462	7824
le.	448	9191
mer.	447	6713
ge.	426	4164
ci.	421	3302
non.	419	3340
vue.	416	8766
mot.	401	3730
est.	388	3609
M.	371	7198
vin.	364	7398
jeu.	351	6378
mur.	347	3586
il.	339	3328
dos.	324	3952
air.	318	3841
fou.	303	3138
fin.	283	3178
nez.	272	6426
dur.	267	3292
or.	264	4175
sac.	264	3998
sol.	247	10038
sûr.	239	9139
tre.	234	4172
loi.	219	8240
lac.	208	8579
une.	198	133067
dis.	184	8068
la.	177	11766
an.	170	7664
oui.	165	130715
roi.	158	3153
ufs.	154	9241
cas.	152	12374
tat.	150	13768
but.	145	3425
soi.	145	8131
vol.	140	4071
end.	137	3894
art.	136	4120
me.	134	15039
les.	126	139533
cou.	112	128750
cul.	112	531340
riz.	111	129780
bu.	110	14030
es.	108	129906
plu.	107	4174
lu.	104	10536
va.	104	14953
uf.	102	127998
cru.	101	14011
os.	96	7201
dix.	92	3945
nu.	92	129672
fer.	91	9132
sel.	89	8367
ne.	87	10618
Sud.	82	10804
zoo.	78	11548
vus.	76	6035
sec.	75	15339
tes.	75	14243
sud.	74	7811
fil.	73	12625
nul.	73	452626
Oui.	73	6799
Ali.	71	3521477
Dan.	68	181199
Non.	64	3410
mai.	60	7490
bar.	58	414260
gaz.	57	9104
ail.	56	452888
con.	56	409626
pu.	56	7097
foi.	54	521030
son.	54	8672
ri.	53	131271
ski.	53	7210
y.	53	8848
pot.	51	9763
eu.	50	126635
tel.	50	133467
gay.	49	3791
nus.	49	751676
web.	49	331870
pée.	48	131966
vit.	48	132363
ai.	47	12371
h.	43	8069
nid.	43	390729
nue.	43	939781
sou.	43	473911
qui.	42	3135
en.	41	4155
gal.	41	4177
née.	41	339578
jus.	40	466182
C.	39	3951
tue.	39	129601
as.	37	3865
Ken.	36	6582
bol.	34	15583
gée.	34	133534
mec.	34	802487
vif.	34	133040
vis.	34	3200
six.	33	446359
etc.	31	6965
tu.	31	467492
cri.	30	129638
fac.	30	180590
si.	30	551993
su.	30	359093
B.	27	6847
fut.	27	431611
lue.	27	15576
pur.	26	128577
SMS.	26	380619
CD.	25	10190
pue.	25	848170
rit.	25	13400
