granularity	property	rangeCount	likelySubtag
grapheme	Control	26	fr-Latn-FR
grapheme	CR	1	fr-Latn-FR
grapheme	Extend	420	fr-Latn-FR
grapheme	L	2	fr-Latn-FR
grapheme	LF	1	fr-Latn-FR
grapheme	LV	399	fr-Latn-FR
grapheme	LVT	399	fr-Latn-FR
grapheme	Prepend	15	fr-Latn-FR
grapheme	Regional_Indicator	1	fr-Latn-FR
grapheme	SpacingMark	158	fr-Latn-FR
grapheme	T	2	fr-Latn-FR
grapheme	V	4	fr-Latn-FR
grapheme	ZWJ	1	fr-Latn-FR
sentence	ATerm	4	fr-Latn-FR
sentence	Close	183	fr-Latn-FR
sentence	CR	1	fr-Latn-FR
sentence	Extend	566	fr-Latn-FR
sentence	Format	15	fr-Latn-FR
sentence	LF	1	fr-Latn-FR
sentence	Lower	689	fr-Latn-FR
sentence	Numeric	80	fr-Latn-FR
sentence	OLetter	612	fr-Latn-FR
sentence	SContinue	22	fr-Latn-FR
sentence	Sep	3	fr-Latn-FR
sentence	Sp	9	fr-Latn-FR
sentence	STerm	84	fr-Latn-FR
sentence	Upper	661	fr-Latn-FR
word	ALetter	692	fr-Latn-FR
word	CR	1	fr-Latn-FR
word	Double_Quote	1	fr-Latn-FR
word	Extend	567	fr-Latn-FR
word	ExtendNumLet	7	fr-Latn-FR
word	Format	13	fr-Latn-FR
word	Hebrew_Letter	10	fr-Latn-FR
word	Katakana	19	fr-Latn-FR
word	LF	1	fr-Latn-FR
word	MidLetter	9	fr-Latn-FR
word	MidNum	12	fr-Latn-FR
word	MidNumLet	7	fr-Latn-FR
word	Newline	4	fr-Latn-FR
word	Numeric	80	fr-Latn-FR
word	Regional_Indicator	1	fr-Latn-FR
word	Single_Quote	1	fr-Latn-FR
word	WSegSpace	6	fr-Latn-FR
word	ZWJ	1	fr-Latn-FR
