type	subtag	tag	preferredValue	suppressScript	macrolanguage	scope	deprecated	added	prefix	description
language	aa							2005-10-16		Afar
language	aaa							2009-07-29		Ghotuo
language	aab							2009-07-29		Alumu-Tesu
language	aac							2009-07-29		Ari
language	aad							2009-07-29		Amal
language	aae				sq			2009-07-29		Arbëreshë Albanian
language	aaf							2009-07-29		Aranadan
language	aag							2009-07-29		Ambrak
language	aah							2009-07-29		Abu' Arapesh
language	aai							2009-07-29		Arifama-Miniafia
language	aak							2009-07-29		Ankave
language	aal							2009-07-29		Afade
language	aam		aas				2015-02-12	2009-07-29		Aramanik
language	aan							2009-07-29		Anambé
language	aao				ar			2009-07-29		Algerian Saharan Arabic
language	aap							2009-07-29		Pará Arára
language	aaq							2009-07-29		Eastern Abnaki
language	aas							2009-07-29		Aasáx
language	aat				sq			2009-07-29		Arvanitika Albanian
language	aau							2009-07-29		Abau
language	aav					collection		2009-07-29		Austro-Asiatic languages
language	aaw							2009-07-29		Solong
language	aax							2009-07-29		Mandobo Atas
language	aaz							2009-07-29		Amarasi
language	ab			Cyrl				2005-10-16		Abkhazian
language	aba							2009-07-29		Abé
language	abb							2009-07-29		Bankon
language	abc							2009-07-29		Ambala Ayta
language	abd							2009-07-29		Manide
language	abe							2009-07-29		Western Abnaki
language	abf							2009-07-29		Abai Sungai
language	abg							2009-07-29		Abaga
language	abh				ar			2009-07-29		Tajiki Arabic
language	abi							2009-07-29		Abidji
language	abj							2009-07-29		Aka-Bea
language	abl							2009-07-29		Lampung Nyo
language	abm							2009-07-29		Abanyom
language	abn							2009-07-29		Abua
language	abo							2009-07-29		Abon
language	abp							2009-07-29		Abellen Ayta
language	abq							2009-07-29		Abaza
language	abr							2009-07-29		Abron
language	abs							2009-07-29		Ambonese Malay
language	abt							2009-07-29		Ambulas
language	abu							2009-07-29		Abure
language	abv				ar			2009-07-29		Baharna Arabic
language	abw							2009-07-29		Pal
language	abx							2009-07-29		Inabaknon
language	aby							2009-07-29		Aneme Wake
language	abz							2009-07-29		Abui
language	aca							2009-07-29		Achagua
language	acb							2009-07-29		Áncá
language	acd							2009-07-29		Gikyode
language	ace							2005-10-16		Achinese
language	acf							2009-07-29		Saint Lucian Creole French
language	ach							2005-10-16		Acoli
language	aci							2009-07-29		Aka-Cari
language	ack							2009-07-29		Aka-Kora
language	acl							2009-07-29		Akar-Bale
language	acm				ar			2009-07-29		Mesopotamian Arabic
language	acn							2009-07-29		Achang
language	acp							2009-07-29		Eastern Acipa
language	acq				ar			2009-07-29		Ta'izzi-Adeni Arabic
language	acr							2009-07-29		Achi
language	acs							2009-07-29		Acroá
language	act							2009-07-29		Achterhoeks
language	acu							2009-07-29		Achuar-Shiwiar
