scope	sourceId	predicateId	targetId
synset	awn4-00001740-a	attribute	awn4-05207437-n
synset	awn4-00001740-a	attribute	awn4-05624029-n
synset	awn4-00001740-n	hyponym	awn4-00001930-n
synset	awn4-00001740-n	hyponym	awn4-00002137-n
synset	awn4-00001740-n	hyponym	awn4-04431553-n
synset	awn4-00001740-v	entails	awn4-00004227-v
synset	awn4-00001740-v	entails	awn4-00005041-v
synset	awn4-00001740-v	hypernym	awn4-02372362-v
synset	awn4-00001740-v	hyponym	awn4-00002573-v
synset	awn4-00001740-v	hyponym	awn4-00002724-v
synset	awn4-00001740-v	hyponym	awn4-00002942-v
synset	awn4-00001740-v	hyponym	awn4-00003826-v
synset	awn4-00001740-v	hyponym	awn4-00004032-v
synset	awn4-00001740-v	hyponym	awn4-00004227-v
synset	awn4-00001740-v	hyponym	awn4-00005041-v
synset	awn4-00001740-v	hyponym	awn4-00006697-v
synset	awn4-00001740-v	hyponym	awn4-00007328-v
synset	awn4-00001740-v	hyponym	awn4-00017024-v
synset	awn4-00001740-v	similar	awn4-00002325-v
synset	awn4-00001740-v	similar	awn4-00002573-v
synset	awn4-00001930-n	hypernym	awn4-00001740-n
synset	awn4-00001930-n	hyponym	awn4-00002452-n
synset	awn4-00001930-n	hyponym	awn4-00002684-n
synset	awn4-00001930-n	hyponym	awn4-00007347-n
synset	awn4-00001930-n	hyponym	awn4-00021007-n
synset	awn4-00001930-n	hyponym	awn4-00029976-n
synset	awn4-00001930-n	hyponym	awn4-14604577-n
synset	awn4-00002098-a	attribute	awn4-05207437-n
synset	awn4-00002137-n	hypernym	awn4-00001740-n
synset	awn4-00002137-n	hyponym	awn4-00023280-n
synset	awn4-00002137-n	hyponym	awn4-00024444-n
synset	awn4-00002137-n	hyponym	awn4-00029677-n
synset	awn4-00002137-n	hyponym	awn4-00031563-n
synset	awn4-00002137-n	hyponym	awn4-00032220-n
synset	awn4-00002137-n	hyponym	awn4-00033319-n
synset	awn4-00002137-n	hyponym	awn4-00033914-n
synset	awn4-00002137-n	hyponym	awn4-05818169-n
synset	awn4-00002137-n	hyponym	awn4-08016141-n
synset	awn4-00002312-a	domain_topic	awn4-06047178-n
synset	awn4-00002325-v	hypernym	awn4-02112831-v
synset	awn4-00002325-v	similar	awn4-00001740-v
synset	awn4-00002452-n	hypernym	awn4-00001930-n
synset	awn4-00002452-n	hyponym	awn4-04354303-n
synset	awn4-00002452-n	hyponym	awn4-09248053-n
synset	awn4-00002452-n	hyponym	awn4-09335551-n
synset	awn4-00002452-n	hyponym	awn4-09390100-n
synset	awn4-00002452-n	hyponym	awn4-09408804-n
synset	awn4-00002452-n	hyponym	awn4-09430745-n
synset	awn4-00002452-n	hyponym	awn4-09488589-n
synset	awn4-00002452-n	hyponym	awn4-09492089-n
synset	awn4-00002527-a	domain_topic	awn4-06047178-n
synset	awn4-00002573-v	hypernym	awn4-00001740-v
synset	awn4-00002573-v	similar	awn4-00001740-v
synset	awn4-00002684-n	hypernym	awn4-00001930-n
synset	awn4-00002684-n	hyponym	awn4-00003553-n
synset	awn4-00002684-n	hyponym	awn4-00027365-n
synset	awn4-00002684-n	hyponym	awn4-03013287-n
synset	awn4-00002684-n	hyponym	awn4-03154617-n
synset	awn4-00002684-n	hyponym	awn4-03238126-n
synset	awn4-00002684-n	hyponym	awn4-03343593-n
synset	awn4-00002684-n	hyponym	awn4-03537260-n
synset	awn4-00002684-n	hyponym	awn4-03600372-n
synset	awn4-00002684-n	hyponym	awn4-03615483-n
synset	awn4-00002684-n	hyponym	awn4-03720260-n
synset	awn4-00002684-n	hyponym	awn4-03898588-n
synset	awn4-00002684-n	hyponym	awn4-04018636-n
synset	awn4-00002684-n	hyponym	awn4-04255138-n
synset	awn4-00002684-n	hyponym	awn4-04352366-n
synset	awn4-00002684-n	hyponym	awn4-04493701-n
synset	awn4-00002684-n	hyponym	awn4-07867030-n
synset	awn4-00002684-n	hyponym	awn4-09261049-n
