synsetId	ili	partOfSpeech	lexfile	members	definition	exampleCount
awn4-00001740-a	i1	a			يمتلك الوسائل أو المهارة أو المعرفة أو السلطة اللازمة للقيام بشيء ما (عادةً يتبعه حرف الجر 'على')	4
awn4-00001740-n	i35545	n			ما يُدرَك أو يُعرَف أو يُستدَلّ على وجوده المستقل، سواء أكان حيًّا أم غير حيّ	0
awn4-00001740-r	i18157	r			بدون مرافقة آلات موسيقية (عادة في الغناء)	1
awn4-00001740-v	i21778	v			سحب الهواء إلى الرئتين وطرده منها	2
awn4-00001885-r	i18158	r			في العصر المسيحي؛ تستخدم قبل التواريخ بعد السنة المفترضة لميلاد المسيح	1
awn4-00001930-n	i35546	n			كيان له وجود مادّيّ ملموس في العالم الفيزيائيّ	0
awn4-00002029-r	i18159	r			في الفترة المتزامنة مع العصر المسيحي؛ يفضل استخدامها بعض الكتاب غير المسيحيين	1
awn4-00002098-a	i2	a			لا يمتلك الوسائل أو المهارة أو المعرفة اللازمة (عادةً يتبعه حرف الجر 'على')	2
awn4-00002137-n	i35547	n			مفهوم عامّ يُستخلَص بانتزاع السمات المشتركة من أمثلة محدّدة	0
awn4-00002190-r	i18160	r			قبل العصر المسيحي؛ تستخدم بعد التواريخ السابقة للسنة المفترضة لميلاد المسيح	1
awn4-00002312-a	i3	a			مُتجه بعيداً عن محور عضو أو كائن حي	1
awn4-00002325-v	i21779	v			خضع للعمليات الحيوية والتمثيل الغذائي للتنفس بأخذ الأكسجين وإنتاج ثاني أكسيد الكربون	0
awn4-00002344-r	i18161	r			في الفترة التي سبقت الحقبة العامة؛ يفضل استخدامها بعض الكتاب غير المسيحيين	1
awn4-00002452-n	i35548	n			كيان مستقلّ قائم بذاته ومنفصل عن غيره	0
awn4-00002484-r	i18162	r			على ظهر حصان	3
awn4-00002527-a	i4	a			الأقرب إلى أو المتجه نحو محور عضو أو كائن حي	1
awn4-00002573-v	i21780	v			التنفس بسهولة مرة أخرى، كما بعد الإجهاد أو القلق	0
awn4-00002669-r	i18163	r			قبل وقت قصير جداً فقط	3
awn4-00002684-n	i35549	n			كيان ملموس ومرئيّ؛ كيان يمكن أن يُلقيَ ظِلًّا	0
