entryId	lemma	partOfSpeech
oewn--ap-hood-n	'hood	n
oewn--ap-tween_decks-r	'tween decks	r
oewn--ap-tween-r	'tween	r
oewn-.22_caliber-a	.22 caliber	a
oewn-.22_calibre-a	.22 calibre	a
oewn-.22-caliber-a	.22-caliber	a
oewn-.22-calibre-a	.22-calibre	a
oewn-.22-n	.22	n
oewn-.38_caliber-a	.38 caliber	a
oewn-.38_calibre-a	.38 calibre	a
oewn-.38-caliber-a	.38-caliber	a
oewn-.38-calibre-a	.38-calibre	a
oewn-.45_caliber-a	.45 caliber	a
oewn-.45_calibre-a	.45 calibre	a
oewn-.45-caliber-a	.45-caliber	a
oewn-.45-calibre-a	.45-calibre	a
oewn-0-a	0	a
oewn-0-n		
oewn-1-a	1	a
oewn-1-dodecanol-n	1-dodecanol	n
oewn-1-hitter-n	1-hitter	n
oewn-1-n		
oewn-10-a	10	a
oewn-10-membered-a	10-membered	a
oewn-10-n	10	n
oewn-100_mL-n	100 mL	n
oewn-100-a	100	a
oewn-100-n	100	n
oewn-1000-a	1000	a
oewn-1000-n	1000	n
oewn-10000-n	10000	n
oewn-100000-n	100000	n
oewn-1000000-n	1000000	n
oewn-1000000000-n	1000000000	n
oewn-1000000000000-n	1000000000000	n
oewn-1000th-a	1000th	a
oewn-100th-a	100th	a
oewn-101-a	101	a
oewn-101st-a	101st	a
oewn-105-a	105	a
oewn-105th-a	105th	a
oewn-10th-a	10th	a
oewn-11_November-n	11 November	n
oewn-11-a	11	a
oewn-11-n	11	n
oewn-11-plus-n	11-plus	n
oewn-110-a	110	a
oewn-110th-a	110th	a
oewn-115-a	115	a
oewn-115th-a	115th	a
oewn-11th-a	11th	a
oewn-12-a	12	a
oewn-12-n	12	n
oewn-12-tone_music-n	12-tone music	n
oewn-12-tone_system-n	12-tone system	n
oewn-120-a	120	a
oewn-120-n	120	n
oewn-120th-a	120th	a
oewn-125-a	125	a
oewn-125th-a	125th	a
oewn-12th-a	12th	a
oewn-13-a	13	a
oewn-13-n	13	n
oewn-130-a	130	a
oewn-130th-a	130th	a
oewn-135-a	135	a
oewn-135th-a	135th	a
oewn-13th-a	13th	a
oewn-14_July-n	14 July	n
oewn-14-a	14	a
oewn-14-n	14	n
oewn-140-a	140	a
oewn-140th-a	140th	a
oewn-144-n	144	n
oewn-145-a	145	a
oewn-145th-a	145th	a
oewn-14th-a	14th	a
oewn-15_minutes-n	15 minutes	n
oewn-15-a	15	a
oewn-15-n	15	n
oewn-150-a	150	a
oewn-150th-a	150th	a
oewn-1530s-n	1530s	n
oewn-155-a	155	a
oewn-155th-a	155th	a
oewn-15th-a	15th	a
oewn-16_PF-n	16 PF	n
oewn-16-a	16	a
oewn-16-n	16	n
oewn-160-a	160	a
oewn-160th-a	160th	a
oewn-165-a	165	a
oewn-165th-a	165th	a
oewn-16th-a	16th	a
oewn-17-a	17	a
oewn-17-n	17	n
oewn-170-a	170	a
oewn-170th-a	170th	a
oewn-1728-n	1728	n
oewn-175-a	175	a
oewn-1750s-n	1750s	n
oewn-175th-a	175th	a
oewn-1760s-n	1760s	n
oewn-1770s-n	1770s	n
oewn-1780s-n	1780s	n
oewn-1790s-n	1790s	n
oewn-17th-a	17th	a
oewn-18-a	18	a
oewn-18-karat_gold-n	18-karat gold	n
oewn-18-n	18	n
oewn-180-a	180	a
oewn-180th-a	180th	a
oewn-1820s-n	1820s	n
oewn-1830s-n	1830s	n
oewn-1840s-n	1840s	n
oewn-1850s-n	1850s	n
oewn-1860s-n	1860s	n
oewn-1870s-n	1870s	n
oewn-1880s-n	1880s	n
oewn-1890s-n	1890s	n
oewn-18th-a	18th	a
oewn-19-a	19	a
oewn-19-n	19	n
oewn-190-a	190	a
oewn-1900s-n		
oewn-190th-a	190th	a
oewn-1920s-n	1920s	n
oewn-1930s-n	1930s	n
oewn-1940s-n	1940s	n
oewn-1950s-n	1950s	n
oewn-1960s-n	1960s	n
oewn-1970s-n	1970s	n
oewn-1980s-n	1980s	n
oewn-1990s-n		
oewn-19th-a	19th	a
oewn-1st_class-n	1st class	n
oewn-1st_lieutenant-n	1st lieutenant	n
oewn-1st-a		
oewn-1st-class_mail-n	1st-class mail	n
oewn-2-a	2	a
oewn-2-dimensional-a	2-dimensional	a
oewn-2-hitter-n	2-hitter	n
oewn-2-hydroxybenzoic_acid-n	2-hydroxybenzoic acid	n
oewn-2-methylpropenoic_acid-n	2-methylpropenoic acid	n
oewn-2-n	2	n
oewn-20-a	20	a
oewn-20-n	20	n
oewn-20-sl-20-n	20/20	n
oewn-200-a	200	a
oewn-200th-a	200th	a
oewn-2019-nCoV_acute_respiratory_disease-n	2019-nCoV acute respiratory disease	n
oewn-20th-a	20th	a
oewn-21-a	21	a
oewn-21-n	21	n
oewn-21st-a	21st	a
oewn-22-a	22	a
oewn-22-karat_gold-n	22-karat gold	n
oewn-22-n	22	n
oewn-22nd-a	22nd	a
oewn-23-a	23	a
oewn-23-n	23	n
oewn-23rd-a	23rd	a
oewn-24-a	24	a
oewn-24-hour_interval-n	24-hour interval	n
oewn-24-karat_gold-n	24-karat gold	n
oewn-24-n	24	n
oewn-24-sl-7-n	24/7	n
oewn-24th-a	24th	a
oewn-25-a	25	a
oewn-25-n	25	n
oewn-25th-a	25th	a
oewn-26-a	26	a
oewn-26-n	26	n
oewn-26th-a	26th	a
oewn-27-a	27	a
oewn-27-n	27	n
oewn-27th-a	27th	a
oewn-28-a	28	a
oewn-28-n	28	n
oewn-28th-a	28th	a
oewn-29-a	29	a
oewn-29-n	29	n
oewn-29th-a	29th	a
oewn-2d-a	2d	a
oewn-2nd_lieutenant-n	2nd lieutenant	n
oewn-2nd-a	2nd	a
oewn-3-a	3	a
oewn-3-D-n	3-D	n
oewn-3-dimensional-a	3-dimensional	a
oewn-3-hitter-n	3-hitter	n
oewn-3-membered-a	3-membered	a
oewn-3-n	3	n
oewn-30_minutes-n	30 minutes	n
oewn-30-a	30	a
oewn-30-n	30	n
oewn-300-a	300	a
oewn-300th-a	300th	a
oewn-30th-a	30th	a
oewn-31-a	31	a
oewn-31st-a	31st	a
oewn-32-a	32	a
oewn-32nd-a	32nd	a
oewn-33-a	33	a
oewn-33rd-a	33rd	a
oewn-34-a	34	a
oewn-34th-a	34th	a
oewn-35-a	35	a
oewn-35th-a	35th	a
oewn-36-a	36	a
oewn-365_days-n	365 days	n
oewn-366_days-n	366 days	n
oewn-36th-a	36th	a
oewn-37-a	37	a
oewn-37th-a	37th	a
oewn-38-a	38	a
oewn-38th-a	38th	a
oewn-39-a	39	a
oewn-39th-a	39th	a
oewn-3d_radar-n	3d radar	n
oewn-3D-n	3D	n
oewn-3rd-a	3rd	a
oewn-3TC-n	3TC	n
oewn-4-a	4	a
oewn-4-dimensional-a	4-dimensional	a
oewn-4-hitter-n	4-hitter	n
oewn-4-membered-a	4-membered	a
oewn-4-n	4	n
oewn-40-a	40	a
oewn-40-n	40	n
oewn-400-a	400	a
oewn-400th-a	400th	a
oewn-401-k_plan-n	401-k plan	n
oewn-401-k-n	401-k	n
oewn-40th-a	40th	a
oewn-41-a	41	a
oewn-41st-a	41st	a
oewn-42-a	42	a
oewn-42nd-a	42nd	a
oewn-43-a	43	a
oewn-43rd-a	43rd	a
oewn-44-a	44	a
oewn-440_yards-n	440 yards	n
oewn-44th-a	44th	a
oewn-45-a	45	a
oewn-45th-a	45th	a
oewn-46-a	46	a
oewn-46th-a	46th	a
oewn-47-a	47	a
oewn-47th-a	47th	a
oewn-48-a	48	a
oewn-48th-a	48th	a
oewn-49-a	49	a
oewn-49th-a	49th	a
oewn-4th-a	4th	a
oewn-4to-n	4to	n
oewn-4WD-n	4WD	n
oewn-5-a	5	a
oewn-5-hitter-n	5-hitter	n
oewn-5-hydroxy-3-methylglutaryl-coenzyme_A_reductase-n	5-hydroxy-3-methylglutaryl-coenzyme A reductase	n
oewn-5-hydroxytryptamine-n	5-hydroxytryptamine	n
oewn-5-membered-a	5-membered	a
oewn-5-n	5	n
oewn-50-a	50	a
oewn-50-n	50	n
oewn-500-a	500	a
oewn-500-n	500	n
oewn-500th-a	500th	a
oewn-50th-a	50th	a
oewn-51-a	51	a
oewn-52-a	52	a
oewn-53-a	53	a
oewn-54-a	54	a
oewn-55-a	55	a
oewn-55th-a	55th	a
oewn-56-a	56	a
oewn-57-a	57	a
oewn-58-a	58	a
oewn-59-a	59	a
oewn-5th-a	5th	a
oewn-6-a	6	a
oewn-6-membered-a	6-membered	a
oewn-6-n	6	n
oewn-60_minutes-n	60 minutes	n
oewn-60-a	60	a
oewn-60-n	60	n
oewn-60th-a	60th	a
oewn-61-a	61	a
oewn-62-a	62	a
oewn-63-a	63	a
oewn-64-a	64	a
oewn-64th-a	64th	a
oewn-65-a	65	a
oewn-65th-a	65th	a
oewn-66-a	66	a
oewn-67-a	67	a
oewn-68-a	68	a
oewn-69-a	69	a
oewn-6th-a	6th	a
oewn-7-a	7	a
oewn-7-membered-a	7-membered	a
oewn-7-n	7	n
oewn-70-a	70	a
oewn-70-n	70	n
oewn-70th-a	70th	a
oewn-71-a	71	a
oewn-72-a	72	a
oewn-73-a	73	a
oewn-74-a	74	a
oewn-75-a	75	a
oewn-75th-a	75th	a
oewn-76-a	76	a
oewn-77-a	77	a
oewn-78-a	78	a
oewn-78-n	78	n
oewn-79-a	79	a
oewn-7th-a	7th	a
oewn-8-a	8	a
oewn-8-membered-a	8-membered	a
oewn-8-n	8	n
oewn-80-a	80	a
oewn-80-n	80	n
oewn-80th-a	80th	a
oewn-81-a	81	a
oewn-82-a	82	a
oewn-83-a	83	a
oewn-84-a	84	a
oewn-85-a	85	a
oewn-85th-a	85th	a
oewn-86-a	86	a
oewn-87-a	87	a
oewn-88-a	88	a
oewn-880_yards-n	880 yards	n
oewn-89-a	89	a
oewn-8th-a	8th	a
oewn-8vo-n	8vo	n
oewn-9-a	9	a
oewn-9-membered-a	9-membered	a
oewn-9-n	9	n
oewn-90-a	90	a
oewn-90-n	90	n
oewn-90th-a	90th	a
oewn-91-a	91	a
oewn-92-a	92	a
oewn-93-a	93	a
oewn-94-a	94	a
oewn-95-a	95	a
oewn-95th-a	95th	a
oewn-96-a	96	a
oewn-97-a	97	a
oewn-98-a	98	a
oewn-99-a	99	a
oewn-9th-a	9th	a
oewn-A_battery-n	A battery	n
oewn-a_bit-r	a bit	r
oewn-a_capella_singing-n	a capella singing	n
oewn-a_capella-a		
oewn-a_capella-r		
oewn-a_cappella_singing-n	a cappella singing	n
oewn-a_cappella-a		
oewn-a_cappella-r		
oewn-a_couple_of-a	a couple of	a
oewn-a_few-a	a few	a
oewn-a_fortiori-r		
oewn-a_good_deal-r	a good deal	r
oewn-a_great_deal-r	a great deal	r
