scope	sourceId	predicateId	targetId
sense	oewn-.22_caliber__3.01.00..	exemplifies	oewn-american_spelling__1.10.01..
sense	oewn-.22_caliber__3.01.00..	pertainym	oewn-caliber__1.07.01..
sense	oewn-.22_calibre__3.01.00..	exemplifies	oewn-australian_spelling__1.10.01..
sense	oewn-.22_calibre__3.01.00..	exemplifies	oewn-british_spelling__1.10.01..
sense	oewn-.22_calibre__3.01.00..	exemplifies	oewn-canadian_spelling__1.10.01..
sense	oewn-.22_calibre__3.01.00..	pertainym	oewn-calibre__1.07.01..
sense	oewn-.22--caliber__3.01.00..	exemplifies	oewn-american_spelling__1.10.01..
sense	oewn-.22--caliber__3.01.00..	pertainym	oewn-caliber__1.07.01..
sense	oewn-.22--calibre__3.01.00..	exemplifies	oewn-australian_spelling__1.10.01..
sense	oewn-.22--calibre__3.01.00..	exemplifies	oewn-british_spelling__1.10.01..
sense	oewn-.22--calibre__3.01.00..	exemplifies	oewn-canadian_spelling__1.10.01..
sense	oewn-.22--calibre__3.01.00..	pertainym	oewn-calibre__1.07.01..
sense	oewn-.38_caliber__3.01.00..	exemplifies	oewn-american_spelling__1.10.01..
sense	oewn-.38_caliber__3.01.00..	pertainym	oewn-caliber__1.07.01..
sense	oewn-.38_calibre__3.01.00..	exemplifies	oewn-australian_spelling__1.10.01..
sense	oewn-.38_calibre__3.01.00..	exemplifies	oewn-british_spelling__1.10.01..
sense	oewn-.38_calibre__3.01.00..	exemplifies	oewn-canadian_spelling__1.10.01..
sense	oewn-.38_calibre__3.01.00..	pertainym	oewn-calibre__1.07.01..
sense	oewn-.38--caliber__3.01.00..	exemplifies	oewn-american_spelling__1.10.01..
sense	oewn-.38--caliber__3.01.00..	pertainym	oewn-caliber__1.07.01..
sense	oewn-.38--calibre__3.01.00..	exemplifies	oewn-australian_spelling__1.10.01..
sense	oewn-.38--calibre__3.01.00..	exemplifies	oewn-british_spelling__1.10.01..
sense	oewn-.38--calibre__3.01.00..	exemplifies	oewn-canadian_spelling__1.10.01..
sense	oewn-.38--calibre__3.01.00..	pertainym	oewn-calibre__1.07.01..
sense	oewn-.45_caliber__3.01.00..	exemplifies	oewn-american_spelling__1.10.01..
sense	oewn-.45_caliber__3.01.00..	pertainym	oewn-caliber__1.07.01..
sense	oewn-.45_calibre__3.01.00..	exemplifies	oewn-australian_spelling__1.10.01..
sense	oewn-.45_calibre__3.01.00..	exemplifies	oewn-british_spelling__1.10.01..
sense	oewn-.45_calibre__3.01.00..	exemplifies	oewn-canadian_spelling__1.10.01..
sense	oewn-.45_calibre__3.01.00..	pertainym	oewn-calibre__1.07.01..
sense	oewn-.45--caliber__3.01.00..	exemplifies	oewn-american_spelling__1.10.01..
sense	oewn-.45--caliber__3.01.00..	pertainym	oewn-caliber__1.07.01..
sense	oewn-.45--calibre__3.01.00..	exemplifies	oewn-australian_spelling__1.10.01..
sense	oewn-.45--calibre__3.01.00..	exemplifies	oewn-british_spelling__1.10.01..
sense	oewn-.45--calibre__3.01.00..	exemplifies	oewn-canadian_spelling__1.10.01..
sense	oewn-.45--calibre__3.01.00..	pertainym	oewn-calibre__1.07.01..
sense	oewn-a_capella__4.02.00..	pertainym	oewn-a_capella__5.00.00.unaccompanied.01
sense	oewn-a_cappella__4.02.00..	pertainym	oewn-a_cappella__5.00.00.unaccompanied.01
sense	oewn-a_la_carte__3.00.00..	antonym	oewn-table_d-apos-hote__3.00.00..
sense	oewn-a_posteriori__3.00.00..	antonym	oewn-a_priori__3.00.00..
sense	oewn-a_posteriori__4.02.00..	antonym	oewn-a_priori__4.02.00..
sense	oewn-a_priori__3.00.00..	antonym	oewn-a_posteriori__3.00.00..
sense	oewn-a_priori__4.02.00..	antonym	oewn-a_posteriori__4.02.00..
sense	oewn-abactinal__3.00.00..	antonym	oewn-actinal__3.00.00..
sense	oewn-abandon__2.31.00..	derivation	oewn-abandonment__1.04.01..
sense	oewn-abandon__2.31.00..	other	oewn-abandonment__1.04.01..
sense	oewn-abandon__2.31.01..	derivation	oewn-abandonment__1.04.03..
sense	oewn-abandon__2.31.01..	other	oewn-abandonment__1.04.03..
sense	oewn-abandon__2.40.00..	derivation	oewn-abandonment__1.04.02..
sense	oewn-abandon__2.40.00..	other	oewn-abandonment__1.04.02..
sense	oewn-abandon__2.40.01..	derivation	oewn-abandonment__1.04.03..
sense	oewn-abandon__2.40.01..	other	oewn-abandonment__1.04.03..
sense	oewn-abandonment__1.04.01..	derivation	oewn-abandon__2.31.00..
sense	oewn-abandonment__1.04.02..	derivation	oewn-abandon__2.40.00..
sense	oewn-abandonment__1.04.03..	derivation	oewn-abandon__2.31.01..
sense	oewn-abandonment__1.04.03..	derivation	oewn-abandon__2.40.01..
sense	oewn-abase__2.37.00..	derivation	oewn-abasement__1.04.00..
sense	oewn-abase__2.37.00..	other	oewn-abasement__1.04.00..
sense	oewn-abasement__1.04.00..	derivation	oewn-abase__2.37.00..
sense	oewn-abash__2.37.00..	derivation	oewn-abashment__1.12.00..
sense	oewn-abash__2.37.00..	other	oewn-abashment__1.12.00..
sense	oewn-abashment__1.12.00..	derivation	oewn-abash__2.37.00..
sense	oewn-abasia__1.26.00..	derivation	oewn-abasic__3.01.00..
sense	oewn-abasia__1.26.00..	derivation	oewn-abatic__3.01.00..
sense	oewn-abasic__3.01.00..	derivation	oewn-abasia__1.26.00..
sense	oewn-abasic__3.01.00..	pertainym	oewn-abasia__1.26.00..
sense	oewn-abatable__5.00.00.stoppable.00	derivation	oewn-abate__2.30.01..
sense	oewn-abate__2.30.00..	derivation	oewn-abatement__1.11.01..
sense	oewn-abate__2.30.00..	other	oewn-abatement__1.11.01..
sense	oewn-abate__2.30.01..	derivation	oewn-abatable__5.00.00.stoppable.00
sense	oewn-abate__2.30.01..	derivation	oewn-abator__1.18.00..
sense	oewn-abatement__1.11.01..	derivation	oewn-abate__2.30.00..
sense	oewn-abatic__3.01.00..	derivation	oewn-abasia__1.26.00..
sense	oewn-abatic__3.01.00..	pertainym	oewn-abasia__1.26.00..
sense	oewn-abator__1.18.00..	derivation	oewn-abate__2.30.01..
sense	oewn-abaxial__3.00.00..	antonym	oewn-adaxial__3.00.00..
sense	oewn-abaxially__4.02.00..	antonym	oewn-adaxially__4.02.00..
sense	oewn-abaxially__4.02.00..	pertainym	oewn-abaxial__3.00.00..
sense	oewn-abbatial__3.01.00..	derivation	oewn-abbess__1.18.00..
sense	oewn-abbatial__3.01.00..	derivation	oewn-abbey__1.06.00..
sense	oewn-abbatial__3.01.00..	derivation	oewn-abbey__1.06.01..
sense	oewn-abbatial__3.01.00..	derivation	oewn-abbey__1.06.02..
sense	oewn-abbatial__3.01.00..	derivation	oewn-abbot__1.18.00..
sense	oewn-abbatial__3.01.00..	pertainym	oewn-abbey__1.06.00..
sense	oewn-abbess__1.18.00..	derivation	oewn-abbatial__3.01.00..
sense	oewn-abbey__1.06.00..	derivation	oewn-abbatial__3.01.00..
sense	oewn-abbey__1.06.01..	derivation	oewn-abbatial__3.01.00..
sense	oewn-abbey__1.06.02..	derivation	oewn-abbatial__3.01.00..
sense	oewn-abbot__1.18.00..	derivation	oewn-abbatial__3.01.00..
sense	oewn-abbreviate__2.30.00..	derivation	oewn-abbreviation__1.10.00..
sense	oewn-abbreviate__2.30.00..	derivation	oewn-abbreviator__1.18.00..
sense	oewn-abbreviate__2.30.00..	other	oewn-abbreviation__1.10.00..
sense	oewn-abbreviate__2.30.00..	other	oewn-abbreviator__1.18.00..
sense	oewn-abbreviate__2.30.01..	derivation	oewn-abbreviator__1.18.00..
sense	oewn-abbreviate__2.30.01..	other	oewn-abbreviator__1.18.00..
sense	oewn-abbreviation__1.10.00..	derivation	oewn-abbreviate__2.30.00..
sense	oewn-abbreviator__1.18.00..	derivation	oewn-abbreviate__2.30.00..
sense	oewn-abbreviator__1.18.00..	derivation	oewn-abbreviate__2.30.01..
sense	oewn-abdicable__5.00.00.unwanted.00	derivation	oewn-abdicate__2.41.00..
sense	oewn-abdicate__2.41.00..	derivation	oewn-abdicable__5.00.00.unwanted.00
sense	oewn-abdicate__2.41.00..	derivation	oewn-abdication__1.10.00..
sense	oewn-abdicate__2.41.00..	derivation	oewn-abdication__1.10.01..
sense	oewn-abdicate__2.41.00..	derivation	oewn-abdicator__1.18.00..
sense	oewn-abdicate__2.41.00..	other	oewn-abdication__1.10.00..
sense	oewn-abdicate__2.41.00..	other	oewn-abdication__1.10.01..
sense	oewn-abdicate__2.41.00..	other	oewn-abdicator__1.18.00..
sense	oewn-abdication__1.10.00..	derivation	oewn-abdicate__2.41.00..
sense	oewn-abdication__1.10.01..	derivation	oewn-abdicate__2.41.00..
sense	oewn-abdicator__1.18.00..	derivation	oewn-abdicate__2.41.00..
sense	oewn-abdomen__1.08.00..	derivation	oewn-abdominal__3.01.00..
sense	oewn-abdomen__1.08.01..	derivation	oewn-abdominal__3.01.00..
sense	oewn-abdominal__3.01.00..	derivation	oewn-abdomen__1.08.00..
sense	oewn-abdominal__3.01.00..	derivation	oewn-abdomen__1.08.01..
sense	oewn-abdominal__3.01.00..	pertainym	oewn-abdomen__1.08.00..
sense	oewn-abdominous__5.00.00.fat.01	derivation	oewn-abdominousness__1.07.00..
sense	oewn-abdominousness__1.07.00..	derivation	oewn-abdominous__5.00.00.fat.01
sense	oewn-abdominovesical__3.01.00..	pertainym	oewn-abdomen__1.08.00..
sense	oewn-abdominovesical__3.01.00..	pertainym	oewn-urinary_bladder__1.08.00..
sense	oewn-abducent__3.00.00..	antonym	oewn-adducent__3.00.00..
sense	oewn-abduct__2.35.00..	antonym	oewn-adduct__2.35.00..
sense	oewn-abduct__2.35.00..	derivation	oewn-abduction__1.04.01..
sense	oewn-abduct__2.35.00..	derivation	oewn-abductor__1.08.00..
sense	oewn-abduct__2.35.00..	other	oewn-abduction__1.04.01..
sense	oewn-abduct__2.35.00..	other	oewn-abductor__1.08.00..
sense	oewn-abduct__2.35.02..	derivation	oewn-abduction__1.04.00..
sense	oewn-abduct__2.35.02..	derivation	oewn-abductor__1.18.00..
sense	oewn-abduct__2.35.02..	other	oewn-abduction__1.04.00..
sense	oewn-abduct__2.35.02..	other	oewn-abductor__1.18.00..
sense	oewn-abduction__1.04.00..	derivation	oewn-abduct__2.35.02..
sense	oewn-abduction__1.04.01..	derivation	oewn-abduct__2.35.00..
sense	oewn-abductor__1.08.00..	derivation	oewn-abduct__2.35.00..
sense	oewn-abductor__1.18.00..	derivation	oewn-abduct__2.35.02..
sense	oewn-aberrance__1.26.00..	derivation	oewn-aberrant__5.00.00.abnormal.00
sense	oewn-aberrance__1.26.00..	derivation	oewn-aberrate__2.42.00..
sense	oewn-aberrance__1.26.00..	derivation	oewn-aberrate__2.42.01..
sense	oewn-aberrancy__1.26.00..	derivation	oewn-aberrant__5.00.00.abnormal.00
sense	oewn-aberrant__1.18.00..	derivation	oewn-aberrant__5.00.00.abnormal.00
sense	oewn-aberrant__1.18.00..	derivation	oewn-aberrate__2.42.01..
sense	oewn-aberrant__5.00.00.abnormal.00	derivation	oewn-aberrance__1.26.00..
sense	oewn-aberrant__5.00.00.abnormal.00	derivation	oewn-aberrancy__1.26.00..
sense	oewn-aberrant__5.00.00.abnormal.00	derivation	oewn-aberrant__1.18.00..
sense	oewn-aberrate__2.42.00..	derivation	oewn-aberrance__1.26.00..
sense	oewn-aberrate__2.42.00..	derivation	oewn-aberration__1.19.00..
sense	oewn-aberrate__2.42.00..	derivation	oewn-aberration__1.26.01..
sense	oewn-aberrate__2.42.00..	other	oewn-aberrance__1.26.00..
sense	oewn-aberrate__2.42.00..	other	oewn-aberration__1.19.00..
sense	oewn-aberrate__2.42.00..	other	oewn-aberration__1.26.01..
sense	oewn-aberrate__2.42.01..	derivation	oewn-aberrance__1.26.00..
sense	oewn-aberrate__2.42.01..	derivation	oewn-aberrant__1.18.00..
sense	oewn-aberrate__2.42.01..	derivation	oewn-aberration__1.26.00..
sense	oewn-aberrate__2.42.01..	derivation	oewn-aberration__1.26.01..
sense	oewn-aberrate__2.42.01..	other	oewn-aberrance__1.26.00..
sense	oewn-aberrate__2.42.01..	other	oewn-aberration__1.26.01..
sense	oewn-aberration__1.19.00..	derivation	oewn-aberrate__2.42.00..
sense	oewn-aberration__1.26.00..	derivation	oewn-aberrate__2.42.01..
sense	oewn-aberration__1.26.01..	derivation	oewn-aberrate__2.42.00..
sense	oewn-aberration__1.26.01..	derivation	oewn-aberrate__2.42.01..
sense	oewn-abet__2.41.00..	derivation	oewn-abetment__1.10.00..
sense	oewn-abet__2.41.00..	derivation	oewn-abettal__1.10.00..
sense	oewn-abet__2.41.00..	derivation	oewn-abetter__1.18.00..
sense	oewn-abet__2.41.00..	derivation	oewn-abettor__1.18.00..
sense	oewn-abet__2.41.00..	other	oewn-abetment__1.10.00..
sense	oewn-abet__2.41.00..	other	oewn-abetter__1.18.00..
sense	oewn-abet__2.41.00..	other	oewn-abettor__1.18.00..
sense	oewn-abetment__1.10.00..	derivation	oewn-abet__2.41.00..
sense	oewn-abettal__1.10.00..	derivation	oewn-abet__2.41.00..
sense	oewn-abetter__1.18.00..	derivation	oewn-abet__2.41.00..
sense	oewn-abettor__1.18.00..	derivation	oewn-abet__2.41.00..
sense	oewn-abeyance__1.26.00..	derivation	oewn-abeyant__5.00.00.inactive.01
sense	oewn-abeyant__5.00.00.inactive.01	derivation	oewn-abeyance__1.26.00..
sense	oewn-abhor__2.37.00..	derivation	oewn-abhorrence__1.12.00..
sense	oewn-abhor__2.37.00..	derivation	oewn-abhorrent__5.00.00.offensive.01
sense	oewn-abhor__2.37.00..	derivation	oewn-abhorrer__1.18.00..
sense	oewn-abhor__2.37.00..	other	oewn-abhorrence__1.12.00..
sense	oewn-abhorrence__1.12.00..	derivation	oewn-abhor__2.37.00..
sense	oewn-abhorrence__1.12.00..	derivation	oewn-abhorrent__5.00.00.offensive.01
sense	oewn-abhorrent__5.00.00.offensive.01	derivation	oewn-abhor__2.37.00..
sense	oewn-abhorrent__5.00.00.offensive.01	derivation	oewn-abhorrence__1.12.00..
sense	oewn-abhorrer__1.18.00..	derivation	oewn-abhor__2.37.00..
sense	oewn-abidance__1.04.00..	derivation	oewn-abide__2.31.00..
sense	oewn-abidance__1.04.01..	derivation	oewn-abide__2.42.01..
sense	oewn-abide__2.31.00..	derivation	oewn-abidance__1.04.00..
sense	oewn-abide__2.31.00..	other	oewn-abidance__1.04.00..
sense	oewn-abide__2.42.01..	derivation	oewn-abidance__1.04.01..
sense	oewn-abide__2.42.01..	other	oewn-abidance__1.04.01..
sense	oewn-abience__1.16.00..	antonym	oewn-adience__1.16.00..
sense	oewn-abience__1.16.00..	derivation	oewn-abient__3.01.00..
sense	oewn-abient__3.01.00..	antonym	oewn-adient__3.01.00..
sense	oewn-abient__3.01.00..	derivation	oewn-abience__1.16.00..
sense	oewn-abient__3.01.00..	pertainym	oewn-abience__1.16.00..
sense	oewn-ability__1.07.00..	antonym	oewn-inability__1.07.00..
sense	oewn-ability__1.07.00..	derivation	oewn-able__3.00.00..
sense	oewn-ability__1.07.00..	derivation	oewn-able__5.00.00.capable.00
