senseId	entryId	lemma	partOfSpeech	synsetId	subcat
oewn--apos-hood__1.14.01..	oewn--ap-hood-n	'hood	n	oewn-08242255-n	
oewn--apos-tween__4.02.00..	oewn--ap-tween-r	'tween	r	oewn-00252367-r	
oewn--apos-tween_decks__4.02.00..	oewn--ap-tween_decks-r	'tween decks	r	oewn-00500491-r	
oewn-.22__1.06.00..	oewn-.22-n	.22	n	oewn-04510146-n	
oewn-.22_caliber__3.01.00..	oewn-.22_caliber-a	.22 caliber	a	oewn-03157978-a	
oewn-.22_calibre__3.01.00..	oewn-.22_calibre-a	.22 calibre	a	oewn-03157978-a	
oewn-.22--caliber__3.01.00..	oewn-.22-caliber-a	.22-caliber	a	oewn-03157978-a	
oewn-.22--calibre__3.01.00..	oewn-.22-calibre-a	.22-calibre	a	oewn-03157978-a	
oewn-.38_caliber__3.01.00..	oewn-.38_caliber-a	.38 caliber	a	oewn-03158270-a	
oewn-.38_calibre__3.01.00..	oewn-.38_calibre-a	.38 calibre	a	oewn-03158270-a	
oewn-.38--caliber__3.01.00..	oewn-.38-caliber-a	.38-caliber	a	oewn-03158270-a	
oewn-.38--calibre__3.01.00..	oewn-.38-calibre-a	.38-calibre	a	oewn-03158270-a	
oewn-.45_caliber__3.01.00..	oewn-.45_caliber-a	.45 caliber	a	oewn-03158563-a	
oewn-.45_calibre__3.01.00..	oewn-.45_calibre-a	.45 calibre	a	oewn-03158563-a	
oewn-.45--caliber__3.01.00..	oewn-.45-caliber-a	.45-caliber	a	oewn-03158563-a	
oewn-.45--calibre__3.01.00..	oewn-.45-calibre-a	.45-calibre	a	oewn-03158563-a	
oewn-0__1.23.00..	oewn-0-n			oewn-13764498-n	
oewn-0__5.00.00.cardinal.00	oewn-0-a	0	a	oewn-02193771-s	
oewn-1__1.23.00..	oewn-1-n			oewn-13764713-n	
oewn-1__5.00.00.cardinal.00	oewn-1-a	1	a	oewn-02193977-s	
oewn-1--dodecanol__1.27.00..	oewn-1-dodecanol-n	1-dodecanol	n	oewn-14954808-n	
oewn-1--hitter__1.04.00..	oewn-1-hitter-n	1-hitter	n	oewn-00476153-n	
oewn-10__1.23.00..	oewn-10-n	10	n	oewn-13768652-n	
oewn-10__5.00.00.cardinal.00	oewn-10-a	10	a	oewn-02194935-s	
oewn-10--membered__5.00.00.membered.00	oewn-10-membered-a	10-membered	a	oewn-01507439-s	
oewn-100__1.23.00..	oewn-100-n	100	n	oewn-13772555-n	
oewn-100__5.00.00.cardinal.00	oewn-100-a	100	a	oewn-02203776-s	
oewn-100_ml__1.23.01..	oewn-100_mL-n	100 mL	n	oewn-92410379-n	
oewn-1000__1.23.00..	oewn-1000-n	1000	n	oewn-13772984-n	
oewn-1000__5.00.00.cardinal.00	oewn-1000-a	1000	a	oewn-02206421-s	
oewn-10000__1.23.00..	oewn-10000-n	10000	n	oewn-13773405-n	
oewn-100000__1.23.00..	oewn-100000-n	100000	n	oewn-13773544-n	
oewn-1000000__1.23.00..	oewn-1000000-n	1000000	n	oewn-13773673-n	
oewn-1000000000__1.23.00..	oewn-1000000000-n	1000000000	n	oewn-13773969-n	
oewn-1000000000000__1.23.00..	oewn-1000000000000-n	1000000000000	n	oewn-13774312-n	
oewn-1000000000000__1.23.01..	oewn-1000000000000-n	1000000000000	n	oewn-13774583-n	
oewn-1000th__5.00.00.ordinal.00	oewn-1000th-a	1000th	a	oewn-02220142-s	
oewn-100th__5.00.00.ordinal.00	oewn-100th-a	100th	a	oewn-02217092-s	
oewn-101__5.00.00.cardinal.00	oewn-101-a	101	a	oewn-02203880-s	
oewn-101st__5.00.00.ordinal.00	oewn-101st-a	101st	a	oewn-02217220-s	
oewn-105__5.00.00.cardinal.00	oewn-105-a	105	a	oewn-02204002-s	
oewn-105th__5.00.00.ordinal.00	oewn-105th-a	105th	a	oewn-02217347-s	
oewn-10th__5.00.00.ordinal.00	oewn-10th-a	10th	a	oewn-02211042-s	
oewn-11__1.23.00..	oewn-11-n	11	n	oewn-13768812-n	
oewn-11__5.00.00.cardinal.00	oewn-11-a	11	a	oewn-02195018-s	
oewn-11_november__1.28.00..	oewn-11_November-n	11 November	n	oewn-15210672-n	
oewn-11--plus__1.04.00..	oewn-11-plus-n	11-plus	n	oewn-00638388-n	
oewn-110__5.00.00.cardinal.00	oewn-110-a	110	a	oewn-02204108-s	
oewn-110th__5.00.00.ordinal.00	oewn-110th-a	110th	a	oewn-02217475-s	
oewn-115__5.00.00.cardinal.00	oewn-115-a	115	a	oewn-02204212-s	
oewn-115th__5.00.00.ordinal.00	oewn-115th-a	115th	a	oewn-02217602-s	
oewn-11th__5.00.00.ordinal.00	oewn-11th-a	11th	a	oewn-02211169-s	
oewn-12__1.23.00..	oewn-12-n	12	n	oewn-13768925-n	
oewn-12__5.00.00.cardinal.00	oewn-12-a	12	a	oewn-02195104-s	
oewn-12--tone_music__1.10.00..	oewn-12-tone_music-n	12-tone music	n	oewn-07071579-n	
oewn-12--tone_system__1.10.00..	oewn-12-tone_system-n	12-tone system	n	oewn-07071579-n	
oewn-120__1.23.00..	oewn-120-n	120	n	oewn-13772714-n	
oewn-120__5.00.00.cardinal.00	oewn-120-a	120	a	oewn-02204326-s	
oewn-120th__5.00.00.ordinal.00	oewn-120th-a	120th	a	oewn-02217737-s	
oewn-125__5.00.00.cardinal.00	oewn-125-a	125	a	oewn-02204438-s	
oewn-125th__5.00.00.ordinal.00	oewn-125th-a	125th	a	oewn-02217871-s	
oewn-12th__5.00.00.ordinal.00	oewn-12th-a	12th	a	oewn-02211298-s	
oewn-13__1.23.00..	oewn-13-n	13	n	oewn-13769339-n	
oewn-13__5.00.00.cardinal.00	oewn-13-a	13	a	oewn-02195245-s	
oewn-130__5.00.00.cardinal.00	oewn-130-a	130	a	oewn-02204560-s	
oewn-130th__5.00.00.ordinal.00	oewn-130th-a	130th	a	oewn-02218013-s	
oewn-135__5.00.00.cardinal.00	oewn-135-a	135	a	oewn-02204676-s	
oewn-135th__5.00.00.ordinal.00	oewn-135th-a	135th	a	oewn-02218147-s	
oewn-13th__5.00.00.ordinal.00	oewn-13th-a	13th	a	oewn-02211432-s	
oewn-14__1.23.00..	oewn-14-n	14	n	oewn-13769488-n	
oewn-14__5.00.00.cardinal.00	oewn-14-a	14	a	oewn-02195338-s	
oewn-14_july__1.28.00..	oewn-14_July-n	14 July	n	oewn-15225328-n	
oewn-140__5.00.00.cardinal.00	oewn-140-a	140	a	oewn-02204799-s	
oewn-140th__5.00.00.ordinal.00	oewn-140th-a	140th	a	oewn-02218289-s	
