synsetId	ili	partOfSpeech	lexfile	members	definition	exampleCount
oewn-00001740-a	i1	a	adj.all	oewn-able-a	(usually followed by ‘to’) having the necessary means or skill or know-how or authority to do something	4
oewn-00001740-n	i35545	n	noun.Tops	oewn-entity-n	that which is perceived or known or inferred to have its own distinct existence (living or nonliving)	0
oewn-00001740-r	i18157	r	adv.all	oewn-a_cappella-r oewn-a_capella-r	without musical accompaniment	1
oewn-00001740-v	i21778	v	verb.body	oewn-breathe-v oewn-take_a_breath-v oewn-respire-v oewn-suspire-v	draw air into, and expel out of, the lungs	2
oewn-00001885-r	i18158	r	adv.all	oewn-AD-r oewn-A.D.-r oewn-anno_Domini-r	in the Christian era; used before dates after the supposed year Christ was born	1
oewn-00001930-n	i35546	n	noun.Tops	oewn-physical_entity-n	an entity that has physical existence	0
oewn-00002029-r	i18159	r	adv.all	oewn-CE-r oewn-C.E.-r oewn-Common_Era-r	of the period coinciding with the Christian era; preferred by some writers who are not Christians	1
oewn-00002098-a	i2	a	adj.all	oewn-unable-a	(usually followed by ‘to’) not having the necessary means or skill or know-how	2
oewn-00002137-n	i35547	n	noun.Tops	oewn-abstraction-n oewn-abstract_entity-n	a general concept formed by extracting common features from specific examples	0
oewn-00002190-r	i18160	r	adv.all	oewn-BC-r oewn-B.C.-r oewn-before_Christ-r	before the Christian era; used following dates before the supposed year Christ was born	1
oewn-00002312-a	i3	a	adj.all	oewn-abaxial-a oewn-dorsal-a	facing away from the axis of an organ or organism	1
oewn-00002325-v	i21779	v	verb.body	oewn-respire-v	undergo the biomedical and metabolic processes of respiration by taking up oxygen and producing carbon monoxide	0
oewn-00002344-r	i18161	r	adv.all	oewn-BCE-r oewn-B.C.E.-r	of the period before the Common Era; preferred by some writers who are not Christians	1
oewn-00002452-n	i35548	n	noun.Tops	oewn-thing-n	a separate and self-contained entity	0
oewn-00002484-r	i18162	r	adv.all	oewn-horseback-r oewn-ahorse-r oewn-ahorseback-r	on the back of a horse	3
oewn-00002527-a	i4	a	adj.all	oewn-adaxial-a oewn-ventral-a	nearest to or facing toward the axis of an organ or organism	1
oewn-00002573-v	i21780	v	verb.body	oewn-respire-v	breathe easily again, as after exertion or anxiety	0
oewn-00002669-r	i18163	r	adv.all	oewn-barely-r oewn-hardly-r oewn-just-r oewn-scarcely-r oewn-scarce-r	only a very short time before	3
oewn-00002684-n	i35549	n	noun.Tops	oewn-object-n oewn-physical_object-n	a tangible and visible entity; an entity that can cast a shadow	1
oewn-00002724-v	i21781	v	verb.body	oewn-choke-v	breathe with great difficulty, as when experiencing a strong emotion	1
oewn-00002730-a	i5	a	adj.all	oewn-acroscopic-a	facing or on the side toward the apex	0
oewn-00002843-a	i6	a	adj.all	oewn-basiscopic-a	facing or on the side toward the base	0
oewn-00002935-r	in	r	adv.all	oewn-barely-r oewn-just-r	by a little	5
oewn-00002942-v	i21782	v	verb.body	oewn-hyperventilate-v	breathe excessively hard and fast	1
oewn-00002956-a	i7	a	adj.all	oewn-abducent-a oewn-abducting-a	especially of muscles; drawing away from the midline of the body or from an adjacent part	0
oewn-00003131-a	i8	a	adj.all	oewn-adducent-a oewn-adductive-a oewn-adducting-a	especially of muscles; bringing together or drawing toward the midline of the body or toward an adjacent part	0
oewn-00003133-v	i21783	v	verb.body	oewn-hyperventilate-v	produce hyperventilation in	1
oewn-00003175-r	i18164	r	adv.all	oewn-just-r	exactly at this moment or the moment described	1
oewn-00003316-v	i21784	v	verb.body	oewn-aspirate-v	inhale (air, water, etc.)	0
oewn-00003317-r	i18165	r	adv.all	oewn-hardly-r oewn-scarcely-r oewn-barely-r oewn-scarce-r	almost not	6
oewn-00003356-a	i9	a	adj.all	oewn-nascent-a	being born or beginning	2
oewn-00003443-v	i21785	v	verb.body	oewn-burp-v oewn-bubble-v oewn-belch-v oewn-eruct-v	expel gas from the stomach	1
oewn-00003552-s	i10	s	adj.all	oewn-emergent-a oewn-emerging-a	coming into existence	1
oewn-00003553-n	i35550	n	noun.Tops	oewn-whole-n oewn-unit-n	an assemblage of parts that is regarded as a single entity	2
oewn-00003662-v	i21786	v	verb.body	oewn-force_out-v	emit or cause to move with force of effort	2
oewn-00003675-r	i18166	r	adv.all	oewn-anisotropically-r	in an anisotropic manner	0
oewn-00003699-s	i11	s	adj.all	oewn-dissilient-a	bursting open with force, as do some ripe seed vessels	0
oewn-00003761-r	i18167	r	adv.all	oewn-annoyingly-r	in an annoying manner or to an annoying degree	0
oewn-00003826-v	i21787	v	verb.body	oewn-hiccup-v oewn-hiccough-v	breathe spasmodically, and make a sound	1
oewn-00003828-s	i12	s	adj.all	oewn-parturient-a	giving birth	1
oewn-00003864-r	i18168	r	adv.all	oewn-basically-r oewn-fundamentally-r oewn-essentially-r	in essence; at bottom or by one's (or its) very nature	2
oewn-00003938-a	i13	a	adj.all	oewn-dying-a	in or associated with the process of passing from life or ceasing to be	4
oewn-00003993-n	i35551	n	noun.Tops	oewn-congener-n	a whole (a thing or person) of the same kind or category as another	2
oewn-00004032-v	i21788	v	verb.body	oewn-sigh-v oewn-suspire-v	heave or utter a sigh; breathe deeply and heavily	1
oewn-00004152-r	i18169	r	adv.all	oewn-blessedly-r	in a blessed manner	0
oewn-00004170-s	i14	s	adj.all	oewn-moribund-a	being on the point of death; breathing your last	1
oewn-00004227-r	i18170	r	adv.all	oewn-boiling-r	passionately or agitatedly	1
oewn-00004227-v	i21789	v	verb.body	oewn-exhale-v oewn-expire-v oewn-breathe_out-v	expel air	1
oewn-00004258-n	i35552	n	noun.Tops	oewn-living_thing-n oewn-animate_thing-n	a living (or once living) entity	0
oewn-00004295-s	i15	s	adj.all	oewn-last-a	occurring at the time of death	2
oewn-00004306-r	i18171	r	adv.all	oewn-enviably-r	in an enviable manner	1
oewn-00004412-a	i16	a	adj.all	oewn-abridged-a	(used of texts) shortened by condensing or rewriting	1
oewn-00004419-r	i18172	r	adv.all	oewn-pointedly-r	in such a manner as to make something clearly evident	1
oewn-00004475-n	i35553	n	noun.Tops	oewn-organism-n oewn-being-n	a living thing that has (or can develop) the ability to act or function independently	0
oewn-00004492-v	i21790	v	verb.body	oewn-hold-v	keep from exhaling or expelling	1
oewn-00004565-r	i18173	r	adv.all	oewn-negatively-r	in a negative way	1
oewn-00004605-v	i21791	v	verb.body	oewn-exhale-v oewn-give_forth-v oewn-emanate-v	give out (breath or an odor)	1
oewn-00004614-s	i17	s	adj.all	oewn-cut-a oewn-shortened-a	with parts removed	1
oewn-00004669-r	i18174	r	adv.all	oewn-negatively-r	in a harmful manner	1
oewn-00004722-s	i18	s	adj.all	oewn-half-length-a	abridged to half its original length	0
oewn-00004775-r	i18175	r	adv.all	oewn-kindly-r	in a kind manner or out of kindness	2
oewn-00004816-s	i19	s	adj.all	oewn-potted-a	(British informal) summarized or abridged	1
oewn-00004819-v	i21792	v	verb.body	oewn-sneeze-v	exhale spasmodically, as when an irritant entered one's nose	1
oewn-00004948-r	i18176	r	adv.all	oewn-unkindly-r	in an unkind manner or with unkindness	1
oewn-00004979-a	i20	a	adj.all	oewn-unabridged-a	(used of texts) not shortened	1
oewn-00005041-v	i21793	v	verb.body	oewn-inhale-v oewn-inspire-v oewn-breathe_in-v	draw in (air)	4
oewn-00005103-r	i18177	r	adv.all	oewn-merely-r oewn-simply-r oewn-just-r oewn-only-r oewn-but-r	and nothing more	5
oewn-00005106-s	i21	s	adj.all	oewn-full-length-a oewn-uncut-a	complete	1
oewn-00005204-a	i22	a	adj.all	oewn-absolute-a	perfect or complete or pure	4
oewn-00005348-r	i18178	r	adv.all	oewn-simply-r	absolutely; altogether; really	1
oewn-00005436-r	i18179	r	adv.all	oewn-plainly-r oewn-simply-r	in a simple manner; without extravagance or embellishment	2
oewn-00005472-s	i23	s	adj.all	oewn-direct-a oewn-exact-a	lacking compromising or mitigating elements	1
oewn-00005526-v	i21794	v	verb.body	oewn-pant-v oewn-puff-v oewn-gasp-v oewn-heave-v	breathe noisily, as when one is exhausted	1
oewn-00005591-r	i18180	r	adv.all	oewn-anciently-r	in ancient times; long ago	1
oewn-00005598-s	i24	s	adj.all	oewn-implicit-a oewn-unquestioning-a	being without doubt or reserve	1
oewn-00005717-s	i25	s	adj.all	oewn-infinite-a	total and all-embracing	1
oewn-00005724-r	i18181	r	adv.all	oewn-arguably-r	as can be shown by argument	1
oewn-00005787-n	i35554	n	noun.Tops	oewn-benthos-n	organisms (plants and animals) that live at or near the bottom of a sea, lake, river or stream	0
oewn-00005815-v	i21795	v	verb.body	oewn-cough-v	exhale abruptly, as when one has a chest cold or congestion	1
oewn-00005834-r	i18182	r	adv.all	oewn-unabashedly-r	in an unabashed manner	1
oewn-00005838-s	i26	s	adj.all	oewn-living-a	(informal) absolute	3
oewn-00005930-n	i35555	n	noun.Tops	oewn-dwarf-n	a plant or animal that is atypically small	0
oewn-00005948-r	i18183	r	adv.all	oewn-automatically-r	in a reflex manner	1
oewn-00006024-n	i35556	n	noun.Tops	oewn-heterotroph-n	an organism that depends on complex organic substances for nutrition	0
oewn-00006050-a	i27	a	adj.all	oewn-relative-a oewn-comparative-a	estimated by comparison; not absolute or complete	1
oewn-00006055-r	i18184	r	adv.all	oewn-alarmingly-r	in an alarming manner	1
oewn-00006100-v	i21796	v	verb.body	oewn-hack-v oewn-whoop-v-2	cough spasmodically	1
oewn-00006150-n	i35557	n	noun.Tops	oewn-parent-n	an organism (plant or animal) from which younger ones are obtained	0
oewn-00006160-r	i18185	r	adv.all	oewn-vastly-r oewn-immensely-r	to an exceedingly great extent or degree	2
oewn-00006238-v	i21797	v	verb.body	oewn-expectorate-v oewn-cough_up-v oewn-cough_out-v oewn-spit_up-v oewn-spit_out-v	discharge (phlegm or sputum) from the lungs and out of the mouth	0
oewn-00006263-s	i28	s	adj.all	oewn-relational-a	having a relation or being related	0
oewn-00006269-n	i35558	n	noun.Tops	oewn-life-n	living things collectively	1
oewn-00006354-a	i29	a	adj.all	oewn-absorbent-a oewn-absorptive-a	having power or capacity or tendency to absorb or soak up something (liquids or energy etc.)	1
oewn-00006400-n	i35559	n	noun.Tops	oewn-biont-n	a discrete unit of living matter	0
oewn-00006415-r	i18186	r	adv.all	oewn-grossly-r	in a gross manner	0
oewn-00006484-n	i35560	n	noun.Tops	oewn-cell-n	(biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as in monads) or may form colonies or tissues as in higher plants and animals	0
oewn-00006486-r	i18187	r	adv.all	oewn-largely-r oewn-mostly-r oewn-for_the_most_part-r	in large part; mainly or chiefly	1
oewn-00006523-v	i21798	v	verb.body	oewn-snort-v	make a snorting sound by exhaling hard	1
oewn-00006640-r	i18188	r	adv.all	oewn-significantly-r	in a significant manner	1
oewn-00006697-v	i21799	v	verb.body	oewn-wheeze-v	breathe with difficulty	0
oewn-00006795-s	i30	s	adj.all	oewn-absorbefacient-a oewn-sorbefacient-a	inducing or promoting absorption	0
