sourceEntityId	propertyId	targetEntityId	relationLabel
http://www.wikidata.org/entity/Q1000	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q10006	P31	Q515	instance-of
http://www.wikidata.org/entity/Q10014	P31	Q515	instance-of
http://www.wikidata.org/entity/Q100188	P31	Q515	instance-of
http://www.wikidata.org/entity/Q1003496	P31	Q515	instance-of
http://www.wikidata.org/entity/Q1005	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q1006	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q1007	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q1008	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q10086	P31	Q515	instance-of
http://www.wikidata.org/entity/Q1009	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q1011	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q1012	P31	Q515	instance-of
http://www.wikidata.org/entity/Q101254	P31	Q515	instance-of
http://www.wikidata.org/entity/Q1013	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q1014	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q101418	P31	Q515	instance-of
http://www.wikidata.org/entity/Q1015	P31	Q515	instance-of
http://www.wikidata.org/entity/Q101530	P31	Q515	instance-of
http://www.wikidata.org/entity/Q1016	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q10179	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q1019	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q10199	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q1020	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q1021	P31	Q515	instance-of
http://www.wikidata.org/entity/Q102225	P31	Q11424	instance-of
http://www.wikidata.org/entity/Q1022268	P31	Q9143	instance-of
http://www.wikidata.org/entity/Q102235	P31	Q11424	instance-of
http://www.wikidata.org/entity/Q102244	P31	Q11424	instance-of
http://www.wikidata.org/entity/Q1022488	P31	Q515	instance-of
http://www.wikidata.org/entity/Q102317	P31	Q515	instance-of
http://www.wikidata.org/entity/Q102350	P31	Q515	instance-of
http://www.wikidata.org/entity/Q102397	P31	Q515	instance-of
http://www.wikidata.org/entity/Q1023991	P31	Q9143	instance-of
http://www.wikidata.org/entity/Q102438	P31	Q11424	instance-of
http://www.wikidata.org/entity/Q102448	P31	Q11424	instance-of
http://www.wikidata.org/entity/Q102469	P31	Q515	instance-of
http://www.wikidata.org/entity/Q1025	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q102682	P31	Q515	instance-of
http://www.wikidata.org/entity/Q1027	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q102737	P31	Q515	instance-of
http://www.wikidata.org/entity/Q1028	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q1029	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q1030	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q103011	P31	Q515	instance-of
http://www.wikidata.org/entity/Q1031803	P31	Q3918	instance-of
http://www.wikidata.org/entity/Q1032	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q1032453	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q1033	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q103474	P31	Q11424	instance-of
http://www.wikidata.org/entity/Q103569	P31	Q11424	instance-of
http://www.wikidata.org/entity/Q1036	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q1037	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q103717	P31	Q515	instance-of
http://www.wikidata.org/entity/Q103725	P31	Q515	instance-of
http://www.wikidata.org/entity/Q103892	P31	Q515	instance-of
http://www.wikidata.org/entity/Q1039	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q1041	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q104123	P31	Q11424	instance-of
http://www.wikidata.org/entity/Q1042	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q1042397	P31	Q9143	instance-of
http://www.wikidata.org/entity/Q104302	P31	Q515	instance-of
http://www.wikidata.org/entity/Q1044	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q1045	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q104712	P31	Q515	instance-of
http://www.wikidata.org/entity/Q104720	P31	Q515	instance-of
http://www.wikidata.org/entity/Q104725	P31	Q515	instance-of
http://www.wikidata.org/entity/Q1047293	P31	Q3918	instance-of
http://www.wikidata.org/entity/Q104731	P31	Q515	instance-of
http://www.wikidata.org/entity/Q104740	P31	Q515	instance-of
http://www.wikidata.org/entity/Q1049	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q1049708	P31	Q9143	instance-of
http://www.wikidata.org/entity/Q1050	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q105031	P31	Q11424	instance-of
http://www.wikidata.org/entity/Q105037	P31	Q515	instance-of
http://www.wikidata.org/entity/Q105048	P31	Q515	instance-of
http://www.wikidata.org/entity/Q105060	P31	Q515	instance-of
http://www.wikidata.org/entity/Q105084	P31	Q515	instance-of
http://www.wikidata.org/entity/Q1052614	P31	Q3918	instance-of
http://www.wikidata.org/entity/Q1053535	P31	Q9143	instance-of
http://www.wikidata.org/entity/Q1056057	P31	Q9143	instance-of
http://www.wikidata.org/entity/Q1056373	P31	Q3918	instance-of
http://www.wikidata.org/entity/Q1057199	P31	Q3918	instance-of
http://www.wikidata.org/entity/Q1057802	P31	Q9143	instance-of
http://www.wikidata.org/entity/Q1057898	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q1062121	P31	Q3918	instance-of
http://www.wikidata.org/entity/Q106274	P31	Q515	instance-of
http://www.wikidata.org/entity/Q106316	P31	Q11424	instance-of
http://www.wikidata.org/entity/Q1063665	P31	Q3918	instance-of
http://www.wikidata.org/entity/Q1064516	P31	Q9143	instance-of
http://www.wikidata.org/entity/Q1064573	P31	Q3918	instance-of
http://www.wikidata.org/entity/Q1065414	P31	Q3918	instance-of
http://www.wikidata.org/entity/Q106583	P31	Q515	instance-of
http://www.wikidata.org/entity/Q1067540	P31	Q9143	instance-of
http://www.wikidata.org/entity/Q1067986	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q10686	P31	Q515	instance-of
http://www.wikidata.org/entity/Q106896	P31	Q515	instance-of
http://www.wikidata.org/entity/Q10690	P31	Q515	instance-of
http://www.wikidata.org/entity/Q1069994	P31	Q3918	instance-of
http://www.wikidata.org/entity/Q1070391	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q107094	P31	Q515	instance-of
http://www.wikidata.org/entity/Q107106	P31	Q515	instance-of
http://www.wikidata.org/entity/Q10713	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q10717	P31	Q515	instance-of
http://www.wikidata.org/entity/Q1072029	P31	Q3918	instance-of
http://www.wikidata.org/entity/Q107258515	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q107398	P31	Q515	instance-of
http://www.wikidata.org/entity/Q107401	P31	Q515	instance-of
http://www.wikidata.org/entity/Q1074103	P31	Q3918	instance-of
http://www.wikidata.org/entity/Q107548681	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q107582	P31	Q515	instance-of
http://www.wikidata.org/entity/Q1076606	P31	Q3918	instance-of
http://www.wikidata.org/entity/Q108155	P31	Q515	instance-of
http://www.wikidata.org/entity/Q108223	P31	Q515	instance-of
http://www.wikidata.org/entity/Q1083	P31	Q515	instance-of
http://www.wikidata.org/entity/Q108672	P31	Q515	instance-of
http://www.wikidata.org/entity/Q108679	P31	Q515	instance-of
http://www.wikidata.org/entity/Q108839994	P31	Q11424	instance-of
http://www.wikidata.org/entity/Q109092	P31	Q515	instance-of
http://www.wikidata.org/entity/Q1091095	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q109116	P31	Q11424	instance-of
http://www.wikidata.org/entity/Q109256570	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q109386	P31	Q515	instance-of
http://www.wikidata.org/entity/Q1094046	P31	Q3918	instance-of
http://www.wikidata.org/entity/Q1094742	P31	Q3918	instance-of
http://www.wikidata.org/entity/Q109535	P31	Q515	instance-of
http://www.wikidata.org/entity/Q110011	P31	Q515	instance-of
http://www.wikidata.org/entity/Q11003859	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q110218	P31	Q515	instance-of
http://www.wikidata.org/entity/Q1106819	P31	Q9143	instance-of
http://www.wikidata.org/entity/Q110732	P31	Q515	instance-of
http://www.wikidata.org/entity/Q110812703	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q1113311	P31	Q515	instance-of
