entityId	languageTag	alias
Q1000	en	ga
Q1000	en	GAB
Q1000	en	Gabonese Republic
Q1000	en	Republique Gabonaise
Q1000	en	République Gabonaise
Q100188	en	Claudiopolis
Q100188	en	Cluj
Q100188	en	Klausenburg
Q100188	en	Kluyzenburg
Q100188	en	Kluž
Q100188	en	Kluzh
Q100188	en	Kolozhvar
Q100188	en	Kolozsvar
Q100188	en	Kolozsvár
Q100188	en	Kolozvar
Q100188	en	Muang Kone
Q100188	en	Muang Kuan
Q100188	en	Napoca
Q100271134	en	Mon Pali
Q100271134	en	Mon-Pali language
Q1002956	en	Buhid language
Q1002996	en	BYOB
Q1002996	en	Construye tus propios bloques
Q1005	en	GAM
Q1005	en	Gambia
Q1005	en	GM
Q1005	en	Islamic Republic of the Gambia
Q1005	en	Republic of the Gambia
Q1006	en	gn
Q1006	en	GUI
Q1006	en	Guinea-Conakry
Q1006	en	Republic of Guinea
Q1007	en	GBS
Q1007	en	gw
Q1007	en	Republic of Guinea-Bissau
Q1008	en	ci
Q1008	en	CIV
Q1008	en	Cote d'Ivoire
Q1008	en	Côte d'Ivoire
Q1008	en	Côte d’Ivoire
Q1008	en	Cote d'lvoire
Q1008	en	Cote Ivoire
Q1008	en	Cote-d'Ivoire
Q1008	en	Côte-d'Ivoire
Q1008	en	Republic of Cote d'Ivoire
Q1008	en	Republic of Côte d'Ivoire
Q1008	en	Republic of Ivory Coast
Q1008	en	Republic of the Ivory Coast
Q1008	en	The Ivory Coast
Q10086	en	Mysuru
Q1009	en	Republic of Cameroon
Q1011	en	Cabo Verde
Q1011	en	Cape Verde Islands
Q1011	en	Republic of Cabo Verde
Q1011	en	Republic of Cape Verde
Q101254	en	Casnewydd
Q101254	en	Newport-on-Usk
Q101254	en	Newport, Gwent
Q101254	en	Newport, Monmouthshire
Q101254	en	Newport, South Wales
Q1013	en	Kingdom of Lesotho
Q1013	en	LES
Q1013	en	ls
Q1013	en	The Mountain Kingdom
Q1014	en	Liber
Q1014	en	lr
Q1014	en	Republic of Liberia
Q1015	en	Capo d'Istria
Q1015	en	Capodistria
Q101530	en	Wielun
Q101541409	en	Piripkúra
Q1016	en	LBA
Q1016	en	ly
Q1016	en	State of Libya
Q1017152	en	Buru (Nigeria)
Q1017152	en	Buru language
Q10179	en	isiZulu
Q10179	en	Zulu language
Q1019	en	MAD
Q1019	en	Malagascar
Q1019	en	Malagaskar
Q1019	en	MDG
Q1019	en	mg
Q1019	en	Republic of Madagascar
Q10195	en	Lak'i
Q10195	en	Laqi
Q10195	en	Zay language
Q10195	en	Zway
Q10199	en	Dimili
Q10199	en	Dimli
Q10199	en	Dimli (macrolanguage)
Q10199	en	Kirdki
Q10199	en	Kirmanjki
Q10199	en	Kirmanjki (macrolanguage)
Q10199	en	Zaza
Q10199	en	Zaza language
Q10199	en	Zazaki language
Q1020	en	MAW
Q1020	en	mw
Q1020	en	Republic of Malawi
Q10206	en	Zaparo Asụsụ
Q10206	en	Záparo Asụsụ
Q102119757	en	Arokho
Q102119757	en	Ikhin language
Q102119757	en	Ikhin-Arokho
Q1022268	en	C plus plus/CLI
Q1022268	en	C++/Common Language Infrastructure
Q1022488	en	City of Brighton and Hove
Q1022488	en	The City of Brighton and Hove
Q102317	en	Kel'tse
Q102317	en	Kel'tsy
Q102317	en	Kelts
Q102317	en	Keltz
Q102317	en	Kilts
Q102317	en	Kiltz
Q102350	en	Beuthen
Q102350	en	Beuthen in Oberschlesien
Q102397	en	Miskovec
Q102438	en	Harry Potter and the Sorcerer's Stone
Q1025	en	Agawej
Q1025	en	Gannaar
Q1025	en	Gànnaar
Q1025	en	Islamic Republic of Mauritania
Q1025	en	Mauretania
Q1025	en	Moritani
Q1025	en	mr
Q1025	en	Muritanya
Q1025	en	Murutaane
Q10266010	en	Tenharim language
Q10266012	en	Uru-eu-au-au
Q10266012	en	Uru-eu-wau-wau language
Q1027	en	Maurice
Q1027	en	Moris
Q1027	en	MRI
Q1027	en	MU
Q1027	en	Republic of Mauritius
Q1028	en	al-Maġrib
Q1028	en	Kingdom of Morocco
Q1028	en	Lmaġrib
Q1028	en	Maroc
Q1028	en	Marocco
Q1029	en	Moçambique
Q1029	en	MOZ
Q1029	en	mz
Q1029	en	MZ
Q1029	en	Republic of Mozambique
Q1029	en	República de Moçambique
Q1030	en	na
Q1030	en	Republic of Namibia
Q103011	en	Gördüs
Q103011	en	Korinthos
Q1031803	en	UNIROMA2
Q1031803	en	Universita Degli Studi di Roma II
Q1031803	en	Universita degli Studi di Roma Tor Vergata
Q1031803	en	Università degli Studi di Roma Tor Vergata
Q1031803	en	University of Rome II
Q1031803	en	University of Rome Tor Vergata
Q1032	en	ne
Q1032	en	Republic Niger
Q1032	en	Republic of Niger
Q1032	en	Republic of the Niger
Q1032	en	The Niger
Q10322118	en	Yawanawa language
Q10322157	en	Tembé language
Q1032453	en	Hadhramautic
Q1032453	en	Hadhramautic language
Q1032453	en	Ḥaḍramautic
Q1032453	en	Hadramautic language
Q1032453	en	Ḥaḍramautic language
Q1032453	en	Hadrami
Q1032453	en	Hadrami language
Q1032453	en	Ḥaḍramitic
Q1032453	en	Ḥaḍramitic language
Q1033	en	Federal Republic of Nigeria
Q1033	en	Naija
Q103474	en	2001 A Space Odyssey
Q103474	en	2001 Space Odyssey
Q103474	en	2001: Space Odyssey
Q1036	en	+256
Q1036	en	Ouganda
Q1036	en	Pearl of Africa
Q1036	en	Republic of Uganda
Q1036	en	The Republic of Uganda
Q1036	en	ug
Q1036	en	Ugandah
Q1037	en	Republic of Rwanda
Q1037	en	The Land of a Thousand Hills
Q103717	en	Roavenjarga
Q103717	en	Roavenjárga
Q103717	en	Roavvenjarga
Q103717	en	Roavvenjárga
Q103717	en	Ruäʹvnjargg
Q103717	en	Ruavinjarga
Q103717	en	Ruávinjargâ
Q103892	en	Hindenburg
Q103892	en	Hindenburg/Oberschlesien
Q103892	en	Zobrze
Q1039	en	Democratic Republic of São Tomé and Príncipe
Q1039	en	Sao Tome & Principe
Q1039	en	Sao Tome and Principe
Q1039	en	São Tomé og Príncipe
Q1039	en	st
Q1039346	en	Shom Peng
