entityId	languageTag	label	description	typeId	typeLabel	sitelinks	enwikiUrl
Q1000	en	Gabon	country on the Atlantic coast of Central Africa	Q6256	country	294	https://en.wikipedia.org/wiki/Gabon
Q10006	en	Hengelo	city and municipality in Overijssel, the Netherlands	Q515	city	66	https://en.wikipedia.org/wiki/Hengelo
Q10014	en	Kampen	city in Overijssel, the Netherlands	Q515	city	55	https://en.wikipedia.org/wiki/Kampen,_Overijssel
Q100148307	en	Chinese (Hong Kong)	language variant of Chinese in Hong Kong with traditional Chinese characters	Q34770	language	2	
Q100188	en	Cluj-Napoca	city and seat of Cluj County in northwestern Romania	Q515	city	123	https://en.wikipedia.org/wiki/Cluj-Napoca
Q100271134	en	Mon-Pali	monastic language used by the Mon people around the 1st century AD	Q34770	language	1	
Q1002956	en	Buhid	one of the languages spoken by the Mangyans on the island of Mindoro	Q34770	language	13	https://en.wikipedia.org/wiki/Buhid_language
Q1002996	en	Snap!	programming language	Q9143	programming language	17	https://en.wikipedia.org/wiki/Snap!_(programming_language)
Q1003496	en	Eluru	city in Elur district, Andhra Pradesh, India	Q515	city	51	https://en.wikipedia.org/wiki/Eluru
Q1005	en	The Gambia	sovereign state in West Africa	Q6256	country	299	https://en.wikipedia.org/wiki/The_Gambia
Q1006	en	Guinea	sovereign state in West Africa	Q6256	country	300	https://en.wikipedia.org/wiki/Guinea
Q1007	en	Guinea-Bissau	sovereign state in Western Africa	Q6256	country	296	https://en.wikipedia.org/wiki/Guinea-Bissau
Q1008	en	Ivory Coast	sovereign state in West Africa	Q6256	country	309	https://en.wikipedia.org/wiki/Ivory_Coast
Q10086	en	Mysore	city in the state of Karnataka, India	Q515	city	94	https://en.wikipedia.org/wiki/Mysore
Q1009	en	Cameroon	sovereign state in West-Central Africa	Q6256	country	314	https://en.wikipedia.org/wiki/Cameroon
Q1011	en	Cape Verde	sovereign state comprising ten islands off the Western coast of Africa	Q6256	country	287	https://en.wikipedia.org/wiki/Cape_Verde
Q1012	en	Celje	city in Slovenia	Q515	city	81	https://en.wikipedia.org/wiki/Celje
Q101254	en	Newport	city in south east Wales, United Kingdom	Q515	city	91	https://en.wikipedia.org/wiki/Newport,_Wales
Q1013	en	Lesotho	sovereign state in southern Africa	Q6256	country	279	https://en.wikipedia.org/wiki/Lesotho
Q1014	en	Liberia	sovereign state in West Africa	Q6256	country	291	https://en.wikipedia.org/wiki/Liberia
Q101418	en	Lobamba	city in Eswatini	Q515	city	95	https://en.wikipedia.org/wiki/Lobamba
Q1015	en	Koper	city in southwest Slovenia	Q515	city	85	https://en.wikipedia.org/wiki/Koper
Q101530	en	Wieluń	city of Poland	Q515	city	69	https://en.wikipedia.org/wiki/Wielu%C5%84
Q101541409	en	Piripkura	endangered language of Brazil	Q34770	language	1	
Q1016	en	Libya	sovereign state in North Africa	Q6256	country	331	https://en.wikipedia.org/wiki/Libya
Q1017152	en	Buru	language in Nigeria	Q34770	language	9	https://en.wikipedia.org/wiki/Buru%E2%80%93Angwe_language
Q10179	en	Zulu	Nguni language of eastern South Africa and neighbouring countries	Q34770	language	124	https://en.wikipedia.org/wiki/Zulu_language
Q1019	en	Madagascar	island sovereign state off the coast of Southeast Africa, in the Indian Ocean	Q6256	country	317	https://en.wikipedia.org/wiki/Madagascar
Q10195	en	Zay	one of the Gurage languages	Q34770	language	10	https://en.wikipedia.org/wiki/Zay_language
Q10199	en	Zazaki	Indo-European language spoken by Zaza people	Q34770	language	121	https://en.wikipedia.org/wiki/Zaza_language
Q1020	en	Malawi	sovereign state in Africa	Q6256	country	296	https://en.wikipedia.org/wiki/Malawi
Q10206	en	Záparo	Asụsụ	Q34770	language	15	https://en.wikipedia.org/wiki/Z%C3%A1paro_language
Q1021	en	Kranj	city in Slovenia	Q515	city	76	https://en.wikipedia.org/wiki/Kranj
Q102119757	en	Ikhin	language of Nigeria	Q34770	language	4	https://en.wikipedia.org/wiki/Ikhin_language
Q102225	en	Harry Potter and the Goblet of Fire	2005 film directed by Mike Newell	Q11424	film	90	https://en.wikipedia.org/wiki/Harry_Potter_and_the_Goblet_of_Fire_(film)
Q1022268	en	C++/CLI	programming language	Q9143	programming language	15	https://en.wikipedia.org/wiki/C%2B%2B/CLI
Q102235	en	Harry Potter and the Order of the Phoenix	2007 film directed by David Yates	Q11424	film	88	https://en.wikipedia.org/wiki/Harry_Potter_and_the_Order_of_the_Phoenix_(film)
Q102244	en	Harry Potter and the Chamber of Secrets	2002 film directed by Chris Columbus	Q11424	film	94	https://en.wikipedia.org/wiki/Harry_Potter_and_the_Chamber_of_Secrets_(film)
Q1022488	en	Brighton and Hove	city and unitary authority area in East Sussex, England	Q515	city	61	https://en.wikipedia.org/wiki/Brighton_and_Hove
Q102252955	en	Early Modern Irish	earlier form of the Irish language	Q34770	language	4	https://en.wikipedia.org/wiki/Early_Modern_Irish
Q102317	en	Kielce	city and capital of the Świętokrzyskie Voivodeship in south-central Poland	Q515	city	89	https://en.wikipedia.org/wiki/Kielce
Q102350	en	Bytom	city with powiat rights of Poland	Q515	city	80	https://en.wikipedia.org/wiki/Bytom
Q102397	en	Miskolc	city in Northeastern Hungary	Q515	city	108	https://en.wikipedia.org/wiki/Miskolc
Q1023991	en	COMAL	programming language	Q9143	programming language	13	https://en.wikipedia.org/wiki/COMAL
Q102438	en	Harry Potter and the Philosopher's Stone	2001 film directed by Chris Columbus	Q11424	film	99	https://en.wikipedia.org/wiki/Harry_Potter_and_the_Philosopher%27s_Stone_(film)
Q102448	en	Harry Potter and the Prisoner of Azkaban	2004 film directed by Alfonso Cuarón	Q11424	film	90	https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film)
Q102469	en	Abaza	town in Russia	Q515	city	53	https://en.wikipedia.org/wiki/Abaza_(town)
Q1025	en	Mauritania	sovereign state in West Africa and North Africa	Q6256	country	303	https://en.wikipedia.org/wiki/Mauritania
