entityId	languageTag	alias
http://www.wikidata.org/entity/Q1000	fr	GA
http://www.wikidata.org/entity/Q1000	fr	la République gabonaise
http://www.wikidata.org/entity/Q1000	fr	Le Gabon
http://www.wikidata.org/entity/Q1000	fr	République du Gabon
http://www.wikidata.org/entity/Q1000	fr	République gabonaise
http://www.wikidata.org/entity/Q100188	fr	Cluj
http://www.wikidata.org/entity/Q100188	fr	Cluj Napoca
http://www.wikidata.org/entity/Q100188	fr	Klausenbourg
http://www.wikidata.org/entity/Q100188	fr	Klausenburg
http://www.wikidata.org/entity/Q100188	fr	Kolosvar
http://www.wikidata.org/entity/Q100188	fr	Kolosvár
http://www.wikidata.org/entity/Q100188	fr	Kolozsvar
http://www.wikidata.org/entity/Q100188	fr	Kolozsvár
http://www.wikidata.org/entity/Q1002996	fr	BYOB
http://www.wikidata.org/entity/Q1002996	fr	Construye tus propios bloques
http://www.wikidata.org/entity/Q1005	fr	GM
http://www.wikidata.org/entity/Q1005	fr	République de Gambie
http://www.wikidata.org/entity/Q1006	fr	Guinée-Conakry
http://www.wikidata.org/entity/Q1006	fr	République de Guinée
http://www.wikidata.org/entity/Q1007	fr	GB.
http://www.wikidata.org/entity/Q1007	fr	Guinee Bissau
http://www.wikidata.org/entity/Q1007	fr	Guinée Bissau
http://www.wikidata.org/entity/Q1007	fr	Guinée-bissao
http://www.wikidata.org/entity/Q1007	fr	Guinée-Bissao
http://www.wikidata.org/entity/Q1007	fr	la République de Guinée-Bissao
http://www.wikidata.org/entity/Q1007	fr	la République de Guinée-Bissau
http://www.wikidata.org/entity/Q1007	fr	République de Guinée-Bissau
http://www.wikidata.org/entity/Q1008	fr	CI
http://www.wikidata.org/entity/Q1008	fr	CIV
http://www.wikidata.org/entity/Q1008	fr	Cote d'ivoire
http://www.wikidata.org/entity/Q1008	fr	Côte d’Ivoire
http://www.wikidata.org/entity/Q1008	fr	Côte-d'Ivoire
http://www.wikidata.org/entity/Q1008	fr	Côte-d’Ivoire
http://www.wikidata.org/entity/Q1008	fr	république de Côte d’Ivoire
http://www.wikidata.org/entity/Q10086	fr	Mysuru
http://www.wikidata.org/entity/Q1009	fr	la République du Cameroun
http://www.wikidata.org/entity/Q1009	fr	République du Cameroun
http://www.wikidata.org/entity/Q1011	fr	Cabo Verde
http://www.wikidata.org/entity/Q1011	fr	Cap-V.
http://www.wikidata.org/entity/Q1011	fr	Cap-vert
http://www.wikidata.org/entity/Q1011	fr	îles du Cap-Vert
http://www.wikidata.org/entity/Q1011	fr	la République du Cap-Vert
http://www.wikidata.org/entity/Q1013	fr	le Royaume du Lesotho
http://www.wikidata.org/entity/Q1013	fr	LS
http://www.wikidata.org/entity/Q1014	fr	la République du Libéria
http://www.wikidata.org/entity/Q1014	fr	Libéria
http://www.wikidata.org/entity/Q101530	fr	Wielun
http://www.wikidata.org/entity/Q1016	fr	l’État de Libye
http://www.wikidata.org/entity/Q1016	fr	LY
http://www.wikidata.org/entity/Q10179	fr	langue zoulou
http://www.wikidata.org/entity/Q1019	fr	la République de Madagascar
http://www.wikidata.org/entity/Q1019	fr	MG
http://www.wikidata.org/entity/Q1019	fr	République de Madagascar
http://www.wikidata.org/entity/Q1020	fr	la République du Malawi
http://www.wikidata.org/entity/Q1020	fr	MW
http://www.wikidata.org/entity/Q1020	fr	République du Malawi
http://www.wikidata.org/entity/Q10206	fr	záparo
http://www.wikidata.org/entity/Q102225	fr	Harry Potter and the Goblet of Fire
http://www.wikidata.org/entity/Q102235	fr	Harry Potter and the Order of the Phoenix
http://www.wikidata.org/entity/Q102235	fr	Harry Potter et l'Ordre du phenix
http://www.wikidata.org/entity/Q102244	fr	Harry Potter and the Chamber of Secrets
http://www.wikidata.org/entity/Q102350	fr	Beuthen
http://www.wikidata.org/entity/Q102350	fr	Beuthen in Oberschlesien
http://www.wikidata.org/entity/Q102438	fr	Harry Potter a l'ecole des sorciers
http://www.wikidata.org/entity/Q102438	fr	Harry Potter à l’école des sorciers
http://www.wikidata.org/entity/Q102438	fr	Harry Potter and the Philosopher's Stone
http://www.wikidata.org/entity/Q102438	fr	Harry Potter and the Sorcerer's Stone
http://www.wikidata.org/entity/Q102448	fr	Harry Potter and the Prisoner of Azkaban
http://www.wikidata.org/entity/Q102448	fr	Harry Potter et le Prisonnier d’Azkaban
http://www.wikidata.org/entity/Q1025	fr	la République islamique de Mauritanie
http://www.wikidata.org/entity/Q1025	fr	République islamique de Mauritanie
http://www.wikidata.org/entity/Q10266010	fr	parintintin
http://www.wikidata.org/entity/Q1027	fr	Ile Maurice
http://www.wikidata.org/entity/Q1027	fr	île Maurice
http://www.wikidata.org/entity/Q1027	fr	la République de Maurice
http://www.wikidata.org/entity/Q1027	fr	MU
http://www.wikidata.org/entity/Q1027	fr	République de Maurice
http://www.wikidata.org/entity/Q1028	fr	Royaume du Maroc
