sourceEntityId	propertyId	targetEntityId	relationLabel
http://www.wikidata.org/entity/Q1000	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q10006	P31	Q515	instance-of
http://www.wikidata.org/entity/Q10014	P31	Q515	instance-of
http://www.wikidata.org/entity/Q100148307	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q100188	P31	Q515	instance-of
http://www.wikidata.org/entity/Q100271134	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q1002996	P31	Q9143	instance-of
http://www.wikidata.org/entity/Q1003496	P31	Q515	instance-of
http://www.wikidata.org/entity/Q1005	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q1006	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q1007	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q1008	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q10086	P31	Q515	instance-of
http://www.wikidata.org/entity/Q1009	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q1011	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q101145386	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q1012	P31	Q515	instance-of
http://www.wikidata.org/entity/Q1013	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q1014	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q101418	P31	Q515	instance-of
http://www.wikidata.org/entity/Q1015	P31	Q515	instance-of
http://www.wikidata.org/entity/Q101530	P31	Q515	instance-of
http://www.wikidata.org/entity/Q1016	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q10179	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q1019	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q10195	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q10199	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q1020	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q10206	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q1021	P31	Q515	instance-of
http://www.wikidata.org/entity/Q102225	P31	Q11424	instance-of
http://www.wikidata.org/entity/Q1022268	P31	Q9143	instance-of
http://www.wikidata.org/entity/Q102235	P31	Q11424	instance-of
http://www.wikidata.org/entity/Q102244	P31	Q11424	instance-of
http://www.wikidata.org/entity/Q1022488	P31	Q515	instance-of
http://www.wikidata.org/entity/Q102317	P31	Q515	instance-of
http://www.wikidata.org/entity/Q102350	P31	Q515	instance-of
http://www.wikidata.org/entity/Q102397	P31	Q515	instance-of
http://www.wikidata.org/entity/Q1023991	P31	Q9143	instance-of
http://www.wikidata.org/entity/Q102438	P31	Q11424	instance-of
http://www.wikidata.org/entity/Q102448	P31	Q11424	instance-of
http://www.wikidata.org/entity/Q102469	P31	Q515	instance-of
http://www.wikidata.org/entity/Q1025	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q10266010	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q10266012	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q102682	P31	Q515	instance-of
http://www.wikidata.org/entity/Q1027	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q102737	P31	Q515	instance-of
http://www.wikidata.org/entity/Q1028	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q1029	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q1030	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q103011	P31	Q515	instance-of
http://www.wikidata.org/entity/Q1031803	P31	Q3918	instance-of
http://www.wikidata.org/entity/Q1032	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q10322066	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q10322118	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q10322149	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q10322157	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q1033	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q103474	P31	Q11424	instance-of
http://www.wikidata.org/entity/Q103569	P31	Q11424	instance-of
http://www.wikidata.org/entity/Q1036	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q1037	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q103717	P31	Q515	instance-of
http://www.wikidata.org/entity/Q103725	P31	Q515	instance-of
http://www.wikidata.org/entity/Q103892	P31	Q515	instance-of
http://www.wikidata.org/entity/Q1039	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q1039346	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q10408315	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q1041	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q104123	P31	Q11424	instance-of
http://www.wikidata.org/entity/Q1041765	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q1042	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q104224080	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q1042397	P31	Q9143	instance-of
http://www.wikidata.org/entity/Q10425920	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q10427485	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q104302	P31	Q515	instance-of
http://www.wikidata.org/entity/Q10433128	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q1043515	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q1044	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q10441336	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q1045	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q10465931	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q10467281	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q10470289	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q104712	P31	Q515	instance-of
http://www.wikidata.org/entity/Q104720	P31	Q515	instance-of
http://www.wikidata.org/entity/Q104725	P31	Q515	instance-of
http://www.wikidata.org/entity/Q1047293	P31	Q3918	instance-of
http://www.wikidata.org/entity/Q104731	P31	Q515	instance-of
http://www.wikidata.org/entity/Q104740	P31	Q515	instance-of
http://www.wikidata.org/entity/Q10474818	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q1048461	P31	Q3918	instance-of
http://www.wikidata.org/entity/Q10488401	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q1049	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q1049202	P31	Q9143	instance-of
http://www.wikidata.org/entity/Q1049708	P31	Q9143	instance-of
http://www.wikidata.org/entity/Q1050	P31	Q6256	instance-of
http://www.wikidata.org/entity/Q10502327	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q105031	P31	Q11424	instance-of
http://www.wikidata.org/entity/Q105037	P31	Q515	instance-of
http://www.wikidata.org/entity/Q105048	P31	Q515	instance-of
http://www.wikidata.org/entity/Q105060	P31	Q515	instance-of
http://www.wikidata.org/entity/Q105084	P31	Q515	instance-of
http://www.wikidata.org/entity/Q105092416	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q10510360	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q10510745	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q10510783	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q10511001	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q10511004	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q10511016	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q10511225	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q10511230	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q105198599	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q105198600	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q105198744	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q1052614	P31	Q3918	instance-of
http://www.wikidata.org/entity/Q1053535	P31	Q9143	instance-of
http://www.wikidata.org/entity/Q10543322	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q1054365	P31	Q9143	instance-of
http://www.wikidata.org/entity/Q10547021	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q10549839	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q10549849	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q10549851	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q10549852	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q10549854	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q10550183	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q10550184	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q10550697	P31	Q34770	instance-of
http://www.wikidata.org/entity/Q10551249	P31	Q34770	instance-of
